hidden_size,L,T,acc,checkpoint
64,16,16,97.93,mnist-checkpoints/fc2_h64_L[16]_ablation_wd_l16_fc2_h64.pth
128,16,16,97.93,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h128/fc2_h128_L[16]_ablation_wd_l16_fc2_h128.pth
256,16,16,97.8,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth
512,16,16,97.92,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h512/fc2_h512_L[16]_ablation_wd_l16_fc2_h512.pth
16,16,32,94.11,mnist-checkpoints/fc2_h16_L[16]_ablation_wd_l16_fc2_h16.pth
32,16,32,96.55,mnist-checkpoints/fc2_h32_L[16]_ablation_wd_l16_fc2_h32.pth
64,16,32,97.93,mnist-checkpoints/fc2_h64_L[16]_ablation_wd_l16_fc2_h64.pth
128,16,32,97.89,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h128/fc2_h128_L[16]_ablation_wd_l16_fc2_h128.pth
256,16,32,97.79,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth
512,16,32,97.95,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h512/fc2_h512_L[16]_ablation_wd_l16_fc2_h512.pth
