folder,checkpoint,checkpoint_name,L,T,if_mode,activation_layer,time_reduce,sigma_eff,var_eff,rms_delta,noise_variance,noise_sigma,noise_type,repeats,max_batches
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,4,rate_uniform,if2,mean_rate,0.09211915585780162,0.008485938875953945,0.09212083476613568,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,8,rate_uniform,if2,mean_rate,0.06508066776402323,0.004235493316611172,0.06508070640799571,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,16,rate_uniform,if2,mean_rate,0.05148380509683412,0.0026505821872488027,0.051489840898049546,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[2].pth,cnn2_L[2].pth,2,32,rate_uniform,if2,mean_rate,0.042943376417318616,0.0018441335781195169,0.04296657150042893,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,2,rate_uniform,if2,mean_rate,0.18185544476242946,0.03307140278974103,0.18189738853802032,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,4,rate_uniform,if2,mean_rate,0.10245401036616011,0.010496824240109243,0.10245402485938686,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,8,rate_uniform,if2,mean_rate,0.08304237471774682,0.006896035998762676,0.08311760850778592,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,16,rate_uniform,if2,mean_rate,0.07390821055146216,0.0054624235869192616,0.07414959004788219,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[4].pth,cnn2_L[4].pth,4,32,rate_uniform,if2,mean_rate,0.06753498805625452,0.004560974611758441,0.06801818907980693,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,2,rate_uniform,if2,mean_rate,0.18532643179285305,0.034345886321071016,0.18554121064125162,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,4,rate_uniform,if2,mean_rate,0.10336694864349405,0.010684726071866737,0.10345512838424228,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,8,rate_uniform,if2,mean_rate,0.08157432587545191,0.006654370642034422,0.0817137956777304,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,16,rate_uniform,if2,mean_rate,0.0783114376367578,0.0061326812647358045,0.0786778178750412,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[8].pth,cnn2_L[8].pth,8,32,rate_uniform,if2,mean_rate,0.08089778576263496,0.006544451741297182,0.08170907523399544,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,2,rate_uniform,if2,mean_rate,0.19450303305888686,0.03783142986910644,0.19466770158548946,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,4,rate_uniform,if2,mean_rate,0.1069503747928875,0.011438382668339107,0.10711869466899085,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,8,rate_uniform,if2,mean_rate,0.09143127065022594,0.008359677252714866,0.09186519057960818,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,16,rate_uniform,if2,mean_rate,0.09790803436787555,0.0095859831937811,0.09905544095978144,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[16].pth,cnn2_L[16].pth,16,32,rate_uniform,if2,mean_rate,0.10510791743093244,0.01104767430666771,0.10687031027336837,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,2,rate_uniform,if2,mean_rate,0.19388627447166484,0.03759188742850175,0.19391065261005636,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,4,rate_uniform,if2,mean_rate,0.11031040906053213,0.012168386347101929,0.11062075741346963,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,8,rate_uniform,if2,mean_rate,0.09160124923659783,0.008390788861705316,0.09225827140611273,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,16,rate_uniform,if2,mean_rate,0.09875695265467895,0.0097529356976385,0.10028342580366328,0.5,0.7071067811865476,gaussian,6,4
mnist-checkpoints_c4_c8,mnist-checkpoints_c4_c8/cnn2_L[32].pth,cnn2_L[32].pth,32,32,rate_uniform,if2,mean_rate,0.10609865717538787,0.011256925054420483,0.10835585113178835,0.5,0.7071067811865476,gaussian,6,4
