folder,checkpoint,checkpoint_name,L,T,if_mode,metric_position,time_reduce,sigma_eff,var_eff,rms_delta,p_metric,p_rule,p_e,equal_count,total_count,lambda_if1,h_tolerance,noise_variance,noise_sigma,noise_type,repeats,max_batches,acc
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth,fc2_L[16]_ablation_wd_l16_fc2.pth,16,2,rate_uniform,fc1_output_pre_if1,mean_over_time,0.28670290428894574,0.08219855532771637,0.2867029094113682,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.867852528889974,682507,786432,4.878153324127197,0.15244229137897491,0.5,0.7071067811865476,gaussian,6,4,96.610000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth,fc2_L[16]_ablation_wd_l16_fc2.pth,16,4,rate_uniform,fc1_output_pre_if1,mean_over_time,0.20337977079309988,0.041363331167853845,0.20337977166438642,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.8782564798990885,690689,786432,4.878153324127197,0.15244229137897491,0.5,0.7071067811865476,gaussian,6,4,97.480000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth,fc2_L[16]_ablation_wd_l16_fc2.pth,16,8,rate_uniform,fc1_output_pre_if1,mean_over_time,0.1433544850678597,0.020550508389071208,0.1433545017236456,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.8935356140136719,702705,786432,4.878153324127197,0.15244229137897491,0.5,0.7071067811865476,gaussian,6,4,97.640000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth,fc2_L[16]_ablation_wd_l16_fc2.pth,16,16,rate_uniform,fc1_output_pre_if1,mean_over_time,0.10164302500944739,0.010331304533071147,0.10164302680327218,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.9135449727376302,718441,786432,4.878153324127197,0.15244229137897491,0.5,0.7071067811865476,gaussian,6,4,97.790000
noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth,fc2_L[16]_ablation_wd_l16_fc2.pth,16,32,rate_uniform,fc1_output_pre_if1,mean_over_time,0.07196836821435512,0.0051794460234370005,0.07196837182949355,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.9380022684733073,737675,786432,4.878153324127197,0.15244229137897491,0.5,0.7071067811865476,gaussian,6,4,97.760000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_mne_l2_l2_fc2.pth,fc2_L[2]_ablation_mne_l2_l2_fc2.pth,2,2,rate_uniform,fc1_output_pre_if1,mean_over_time,7.77670110957898,60.4770801477269,7.77670344206542,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.68652598063151,539906,786432,22.7014770507812,5.67536926269531,0.5,0.7071067811865476,gaussian,6,4,98.040000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_mne_l2_l2_fc2.pth,fc2_L[2]_ablation_mne_l2_l2_fc2.pth,2,4,rate_uniform,fc1_output_pre_if1,mean_over_time,5.49145159795049,30.156040652633,5.4914572290397,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.76544189453125,601968,786432,22.7014770507812,5.67536926269531,0.5,0.7071067811865476,gaussian,6,4,98.180000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_mne_l2_l2_fc2.pth,fc2_L[2]_ablation_mne_l2_l2_fc2.pth,2,8,rate_uniform,fc1_output_pre_if1,mean_over_time,3.8812674710294,15.064237181671,3.88127597056867,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.852368672688802,670330,786432,22.7014770507812,5.67536926269531,0.5,0.7071067811865476,gaussian,6,4,98.170000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_mne_l2_l2_fc2.pth,fc2_L[2]_ablation_mne_l2_l2_fc2.pth,2,16,rate_uniform,fc1_output_pre_if1,mean_over_time,2.74735112687812,7.5479382143585,2.74736293152307,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.930887858072917,732080,786432,22.7014770507812,5.67536926269531,0.5,0.7071067811865476,gaussian,6,4,98.210000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_mne_l2_l2_fc2.pth,fc2_L[2]_ablation_mne_l2_l2_fc2.pth,2,32,rate_uniform,fc1_output_pre_if1,mean_over_time,1.94228706509149,3.77247904322172,1.94228708406267,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.981282552083333,771712,786432,22.7014770507812,5.67536926269531,0.5,0.7071067811865476,gaussian,6,4,98.200000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_none_l2_fc2.pth,fc2_L[2]_ablation_none_l2_fc2.pth,2,2,rate_uniform,fc1_output_pre_if1,mean_over_time,10.1701287294499,103.431518373582,10.1701290978134,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.30819829305013,242377,786432,4.23435115814209,1.05858778953552,0.5,0.7071067811865476,gaussian,6,4,98.060000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_none_l2_fc2.pth,fc2_L[2]_ablation_none_l2_fc2.pth,2,4,rate_uniform,fc1_output_pre_if1,mean_over_time,7.16336950079586,51.3138626049323,7.16338169602863,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.386112213134766,303651,786432,4.23435115814209,1.05858778953552,0.5,0.7071067811865476,gaussian,6,4,98.140000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_none_l2_fc2.pth,fc2_L[2]_ablation_none_l2_fc2.pth,2,8,rate_uniform,fc1_output_pre_if1,mean_over_time,5.07590412551913,25.7648026914621,5.07590463464953,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.453089396158854,356324,786432,4.23435115814209,1.05858778953552,0.5,0.7071067811865476,gaussian,6,4,98.110000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_none_l2_fc2.pth,fc2_L[2]_ablation_none_l2_fc2.pth,2,16,rate_uniform,fc1_output_pre_if1,mean_over_time,3.60393113501183,12.9883196259077,3.60393879929012,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.507371266682943,399013,786432,4.23435115814209,1.05858778953552,0.5,0.7071067811865476,gaussian,6,4,98.150000
mnist-checkpoints,mnist-checkpoints/fc2_L[2]_ablation_none_l2_fc2.pth,fc2_L[2]_ablation_none_l2_fc2.pth,2,32,rate_uniform,fc1_output_pre_if1,mean_over_time,2.54458610556579,6.47491844863849,2.54458806075307,P_tolerant_same_position,|x_noisy-x_clean| < lambda/(2L),0.561456044514974,441547,786432,4.23435115814209,1.05858778953552,0.5,0.7071067811865476,gaussian,6,4,98.140000
