sigma,n_training_seeds,paired_delta_mean,paired_delta_std,clean_adjusted_delta_mean,clean_adjusted_delta_std
0.0,5,-1.024000000000001,0.23373061416938343,0.0,0.0
0.25,5,0.6193333333333385,2.2513778497227457,1.6433333333333393,2.0677940473418133
0.5,5,6.524666666666668,3.351846588905221,7.548666666666669,3.2844876143607116
0.75,5,8.647333333333334,4.323118344693124,9.671333333333335,4.38245276326194
1.0,5,7.8546666666666685,5.788365054140936,8.87866666666667,5.91452900350766
