method,method_label,n_training_seeds,input_if_threshold_mean,input_if_threshold_std,hidden_if_threshold_mean_mean,hidden_if_threshold_mean_std,bn_gamma_abs_mean_mean,bn_gamma_abs_mean_std,bn_beta_abs_mean_mean,bn_beta_abs_mean_std,folded_gain_geomean_mean,folded_gain_geomean_std,folded_gain_product_mean,folded_gain_product_std
manual_l2_all,All parameters,5,4.221968650817871,0.06709451481952008,5.106771914164225,0.009989879303021334,0.9408566806997571,0.0026098137204784337,0.07346432855130323,0.003821810457566114,0.28581402931215655,0.0049213820563523735,0.0005470914957695464,5.750819325708062e-05
wd_weight_only,Weights only,5,6.584548759460449,0.024719015506966487,7.507082287470499,0.007687126948119517,1.2237393620823112,0.004255733381815443,0.10772757220537252,0.0024885137109970585,0.19543930457812367,0.002864795698879708,5.587249902411583e-05,4.971436096822057e-06
