model,method,method_label,seed,sigma,noise_repeat,noise_seed,L,T,noise_position,checkpoint,layer_index,layer,relative_l2,layer_amplification,cosine_similarity,spike_mismatch_rate,clean_rms,noisy_rms,clean_boundary_margin_mean,clean_boundary_margin_lt_0p05,clean_boundary_margin_lt_0p10,clean_firing_rate,clean_zero_ratio,clean_saturation_ratio,noisy_boundary_margin_mean,noisy_boundary_margin_lt_0p05,noisy_boundary_margin_lt_0p10,noisy_firing_rate,noisy_zero_ratio,noisy_saturation_ratio
cnn6_vgg,wd_weight_only,weights only,42,0.5,1,20261803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,3,if3,0.4882226749167262,1.1030012939614358,0.8834624938566275,0.08251344914339026,2.166941776871681,2.201171115040779,1.6193638145923615,0.05511147540528327,0.1122933195438236,0.0861774543300271,0.5288243088871241,0.00015430060932430933,1.6945555172860622,0.05391334916930646,0.10778278997167945,0.08892048429697752,0.5309163201600313,0.00012487294497987023
cnn6_vgg,wd_weight_only,weights only,42,0.5,1,20261803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,4,if4,0.5936421968918131,1.2159250837603308,0.8334555549854247,0.07604646682739258,1.9431028291583061,2.1136839762330055,1.8149900622665882,0.04117677581962198,0.08301637484692037,0.06809977954253554,0.6404202375560999,0.0002081734742205299,1.6782451905310154,0.049583901185542345,0.09938625199720263,0.08057379024103284,0.5671674627810717,0.00012207031022626325
cnn6_vgg,wd_weight_only,weights only,42,0.5,1,20261803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,5,if5,0.6077716065511708,1.0238012219032548,0.8172837292709598,0.09241259827905772,2.1528473123908043,2.1747307181358337,2.098216228187084,0.047656311304308474,0.09516844316385686,0.0866868335288018,0.579264409840107,0.0002251449864161259,2.100719131529331,0.04721256054472178,0.09443134977482259,0.0884553340729326,0.5805586073547602,0.00011926767456316156
cnn6_vgg,wd_weight_only,weights only,42,0.5,1,20261803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,6,if6,0.7023235229675903,1.1555714603927598,0.7535762559629481,0.09338538500727439,2.1832001581788063,2.193310372531414,2.1429631486535072,0.045059514814056456,0.09014767874032259,0.08216392667964101,0.6031372547149658,0.00042257502718712203,2.196094922721386,0.044874851941131055,0.08971762959845364,0.0829227005597204,0.6026533357799053,0.0002509915057089529
cnn6_vgg,wd_weight_only,weights only,42,0.5,2,20262803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,0,post_input_if,0.15552801208209735,1.0,0.9881208401521715,nan,1.7302527725696564,1.8012802228331566,,,,,,,,,,,,
cnn6_vgg,wd_weight_only,weights only,42,0.5,2,20262803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,1,if1,0.32029497190411493,2.0594037538076635,0.9498466546019546,0.04175672725755341,2.169361412525177,2.1562205776572227,1.1036463733762503,0.09249013592489064,0.12128066807053983,0.08111616363748908,0.3783981865271926,2.8259899877980388e-05,1.171440951526165,0.06718756072223186,0.13426854414865375,0.08013681787997484,0.41638509649783373,8.189921317125481e-05
cnn6_vgg,wd_weight_only,weights only,42,0.5,2,20262803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2,if2,0.4422147080522243,1.380648298733231,0.9091191908927208,0.052247139872336874,1.8949885666370392,2.0383181013166904,1.2925770990550518,0.04297528846655041,0.08480321010574698,0.06135453388560563,0.6242675632238388,0.00021027545130891667,1.2937843762338161,0.05196544004138559,0.10393126914277673,0.07098159799352288,0.5615059100091457,0.0002510693552721932
cnn6_vgg,wd_weight_only,weights only,42,0.5,2,20262803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,3,if3,0.4873929261858472,1.1021635357462771,0.8837866299158562,0.08242581815135722,2.166941776871681,2.200272001326084,1.6193638145923615,0.05511147540528327,0.1122933195438236,0.0861774543300271,0.5288243088871241,0.00015430060932430933,1.6945280395448208,0.053700348595157266,0.10755608766339719,0.0888478197157383,0.5309610161930323,0.00012393873362270824
cnn6_vgg,wd_weight_only,weights only,42,0.5,2,20262803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,4,if4,0.5915544077960213,1.213711516958817,0.8344662765214026,0.07586889850850008,1.9431028291583061,2.1124079525470734,1.8149900622665882,0.04117677581962198,0.08301637484692037,0.06809977954253554,0.6404202375560999,0.0002081734742205299,1.6782747097313404,0.04963434860110283,0.09944168152287602,0.08047636994160712,0.567487433552742,0.00011942337710024731
cnn6_vgg,wd_weight_only,weights only,42,0.5,2,20262803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,5,if5,0.6061502107079342,1.0246736440799977,0.818064134467608,0.09232042273696588,2.1528473123908043,2.1737105026841164,2.098216228187084,0.047656311304308474,0.09516844316385686,0.0866868335288018,0.579264409840107,0.0002251449864161259,2.0979289039969444,0.0472707930020988,0.09437654237262905,0.08837257954292,0.5804004184901714,0.00012487294497987023
