model,method,method_label,seed,sigma,noise_repeat,noise_seed,L,T,noise_position,checkpoint,n_samples,clean_accuracy,noisy_accuracy,accuracy_drop,prediction_flip_rate,clean_correct_to_wrong_rate,clean_margin_mean,clean_margin_median,noisy_margin_mean,noisy_margin_median,margin_change_mean,margin_change_median,clean_negative_margin_rate,noisy_negative_margin_rate
cnn6_vgg,wd_weight_only,weights only,42,0.5,0,20260803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,74.12109375,14.111328125,0.22119140625,0.19037078029883786,7.274379159323871,6.738439559936523,3.3456784456502646,3.2880940437316895,-3.928700714954175,-3.6114180088043213,0.11767578125,0.2587890625
cnn6_vgg,wd_weight_only,weights only,42,0.5,1,20261803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,73.73046875,14.501953125,0.23193359375,0.19479800774764802,7.274379159323871,6.738439559936523,3.320874333381653,3.3774023056030273,-3.95350482838694,-3.5599613189697266,0.11767578125,0.2626953125
cnn6_vgg,wd_weight_only,weights only,42,0.5,2,20262803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,74.072265625,14.16015625,0.21923828125,0.18705035971223022,7.274379159323871,6.738439559936523,3.453049186966382,3.423722743988037,-3.8213299731723964,-3.527698516845703,0.11767578125,0.25927734375
cnn6_vgg,wd_weight_only,weights only,42,0.5,3,20263803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,74.951171875,13.28125,0.21533203125,0.18206972883231876,7.274379159323871,6.738439559936523,3.359142780303955,3.2690494060516357,-3.9152363726170734,-3.5412049293518066,0.11767578125,0.25048828125
cnn6_vgg,wd_weight_only,weights only,42,0.5,4,20264803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,72.705078125,15.52734375,0.23291015625,0.20420586607636967,7.274379159323871,6.738439559936523,3.4316746190888807,3.4275400638580322,-3.842704539769329,-3.6132872104644775,0.11767578125,0.27294921875
cnn6_vgg,wd_weight_only,weights only,42,1,0,20270803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,48.33984375,39.892578125,0.49755859375,0.48201438848920863,7.274379159323871,6.738439559936523,-0.1073973347665742,-0.20909762382507324,-7.3817764818668365,-7.336940765380859,0.11767578125,0.5166015625
cnn6_vgg,wd_weight_only,weights only,42,1,1,20271803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,47.705078125,40.52734375,0.50341796875,0.4886552296624239,7.274379159323871,6.738439559936523,-0.15710401348769665,-0.3375852108001709,-7.431483166175894,-7.375669002532959,0.11767578125,0.52294921875
cnn6_vgg,wd_weight_only,weights only,42,1,2,20272803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,48.583984375,39.6484375,0.5,0.4825677919203099,7.274379159323871,6.738439559936523,-0.09951802488649264,-0.16736841201782227,-7.373897184908856,-7.42844820022583,0.11767578125,0.51416015625
cnn6_vgg,wd_weight_only,weights only,42,1,3,20273803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,47.412109375,40.8203125,0.5048828125,0.49031543995572774,7.274379159323871,6.738439559936523,-0.17979035701137036,-0.43342161178588867,-7.454169516218826,-7.406031370162964,0.11767578125,0.52587890625
cnn6_vgg,wd_weight_only,weights only,42,1,4,20274803,16,16,post_input_if,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth,2048,88.232421875,47.36328125,40.869140625,0.50537109375,0.490868843386829,7.274379159323871,6.738439559936523,-0.1251749343937263,-0.46317529678344727,-7.399554092204198,-7.218279123306274,0.11767578125,0.5263671875
