method,method_label,n_training_seeds,clean_mean,clean_std,end_sigma,end_mean,end_std,drop_mean,drop_std,auc_mean,auc_std
wd_weight_only,Weights only,5,87.4,0.19416487838947616,1.0,44.768,5.53331807226811,42.632,5.368141412278763,69.50633333333333,3.582652968355526
manual_l2_all,All parameters,5,88.424,0.33012118986820116,1.0,36.913333333333334,6.757485561295051,51.510666666666665,6.792985925038985,64.70466666666667,3.87658706746884
