arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.00,64.616000,20.339268,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.05,64.612000,20.322962,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.10,64.620000,20.306298,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.15,64.432000,20.406439,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.20,64.268000,20.413163,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.25,64.462000,20.452286,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.30,64.304000,20.475144,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.35,64.028000,20.485575,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.40,63.946000,20.587699,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.45,63.872000,20.647977,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.50,63.706000,20.545918,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.55,63.410000,20.726309,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.60,63.298000,20.805020,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.65,63.156000,20.854825,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.70,62.990000,21.245491,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.75,62.784000,20.983463,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.80,62.560000,20.911846,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.85,62.312000,20.948911,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.90,62.086000,21.320761,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.95,61.886000,21.111280,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,1.00,61.656000,21.082744,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.00,63.046000,30.569022,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.05,62.990000,30.545902,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.10,62.964000,30.490659,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.15,62.892000,30.501294,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.20,62.780000,30.381563,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.25,62.658000,30.244153,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.30,62.586000,30.187555,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.35,62.204000,29.895423,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.40,62.050000,29.743582,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.45,61.952000,29.669407,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.50,61.592000,29.461076,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.55,61.300000,29.167471,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.60,60.804000,28.840963,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.65,60.410000,28.570614,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.70,60.034000,28.268745,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.75,59.626000,28.063151,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.80,59.132000,27.763649,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.85,58.710000,27.450689,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.90,58.438000,27.258295,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.95,57.756000,26.859889,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,1.00,57.446000,26.662499,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.00,49.174000,35.640369,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.05,49.148000,35.613077,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.10,49.120000,35.585182,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.15,49.134000,35.559931,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.20,49.024000,35.491404,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.25,49.074000,35.513390,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.30,48.900000,35.359131,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.35,48.730000,35.214834,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.40,48.628000,35.082222,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.45,48.540000,35.008186,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.50,48.408000,34.901712,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.55,48.408000,34.917769,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.60,48.174000,34.644532,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.65,47.980000,34.497752,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.70,47.838000,34.341207,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.75,47.726000,34.244378,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.80,47.336000,33.928715,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.85,47.190000,33.729949,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.90,47.096000,33.622567,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.95,46.856000,33.440469,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,1.00,46.538000,33.118993,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.00,91.364000,1.716925,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.05,91.372000,1.755369,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.10,91.380000,1.693104,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.15,91.308000,1.721067,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.20,91.338000,1.696281,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.25,91.294000,1.748007,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.30,91.274000,1.719078,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.35,91.188000,1.707621,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.40,91.068000,1.811262,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.45,91.036000,1.790609,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.50,91.042000,1.692342,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.55,90.962000,1.769172,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.60,90.884000,1.770531,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.65,90.706000,1.754132,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.70,90.772000,1.901386,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.75,90.626000,1.754004,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.80,90.600000,1.873566,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.85,90.524000,1.808295,5
