arch,hidden_size,regularizer,if_mode,L,T,seed,acc,checkpoint
fc3rev_h8,8,weight_decay,normal,16,16,43,93.390000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h8.pth
fc3rev_h8,8,weight_decay,normal,16,0,44,94.580000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h8.pth
fc3rev_h8,8,weight_decay,normal,16,16,44,94.620000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h8.pth
fc3rev_h16,16,weight_decay,normal,4,0,40,95.560000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,4,16,40,96.030000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,4,0,41,95.320000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,4,16,41,95.630000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,4,0,42,95.900000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,4,16,42,96.300000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,4,0,43,95.820000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,4,16,43,96.150000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,4,0,44,95.470000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,4,16,44,95.860000,mnist-checkpoints/fc3rev_h16_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,0,40,96.200000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,16,40,96.140000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,0,41,95.640000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,16,41,95.680000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,0,42,95.890000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,16,42,95.920000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,0,43,96.180000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,16,43,96.170000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,0,44,95.890000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h16,16,weight_decay,normal,16,16,44,95.910000,mnist-checkpoints/fc3rev_h16_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h16.pth
fc3rev_h32,32,weight_decay,normal,4,0,40,97.610000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,4,16,40,97.820000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,4,0,41,97.260000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,4,16,41,97.510000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,4,0,42,96.730000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,4,16,42,97.040000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,4,0,43,97.700000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,4,16,43,97.750000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,4,0,44,97.360000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,4,16,44,97.630000,mnist-checkpoints/fc3rev_h32_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,0,40,97.460000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,16,40,97.400000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,0,41,97.840000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,16,41,97.830000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,0,42,97.320000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,16,42,97.270000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,0,43,98.000000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,16,43,97.990000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,0,44,97.610000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h32,32,weight_decay,normal,16,16,44,97.540000,mnist-checkpoints/fc3rev_h32_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h32.pth
fc3rev_h64,64,weight_decay,normal,4,0,40,97.280000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,4,16,40,97.400000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,4,0,41,94.890000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,4,16,41,95.040000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,4,0,42,98.110000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,4,16,42,98.230000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,4,0,43,97.660000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,4,16,43,97.810000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,4,0,44,97.250000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,4,16,44,97.350000,mnist-checkpoints/fc3rev_h64_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,0,40,98.050000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,16,40,97.990000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,0,41,97.940000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,16,41,97.950000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,0,42,98.130000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,16,42,98.140000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,0,43,98.040000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,16,43,98.020000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,0,44,98.120000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h64,64,weight_decay,normal,16,16,44,98.120000,mnist-checkpoints/fc3rev_h64_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h64.pth
fc3rev_h128,128,weight_decay,normal,4,0,40,98.240000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,4,16,40,98.270000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h128.pth
fc3rev_h128,128,weight_decay,normal,4,0,41,98.090000,mnist-checkpoints/fc3rev_h128_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h128.pth
