arch,hidden_size,T0_L4_mean,T0_L4_std,T16_L4_mean,T16_L4_std,Gap_L4_T0_minus_T16,T0_L16_mean,T0_L16_std,T16_L16_mean,T16_L16_std,Gap_L16_T0_minus_T16
fc3rev_h4,4,81.794000,11.648089,82.886000,10.528954,-1.092000,59.712000,33.079439,59.758000,33.119929,-0.046000
fc3rev_h8,8,93.200000,1.304933,93.800000,1.283433,-0.600000,93.472000,0.691607,93.474000,0.722655,-0.002000
fc3rev_h16,16,95.614000,0.242033,95.994000,0.259673,-0.380000,95.960000,0.233559,95.964000,0.199324,-0.004000
fc3rev_h32,32,97.332000,0.381143,97.550000,0.308626,-0.218000,97.646000,0.276188,97.606000,0.298881,0.040000
fc3rev_h64,64,97.038000,1.250348,97.166000,1.240496,-0.128000,98.056000,0.076354,98.044000,0.082644,0.012000
fc3rev_h128,128,97.984000,0.382662,98.082000,0.339588,-0.098000,98.286000,0.168612,98.282000,0.159750,0.004000
fc3rev_h256,256,97.816000,0.502872,97.890000,0.491477,-0.074000,98.282000,0.147547,98.258000,0.130269,0.024000
