arch,hidden_size,regularizer,if_mode,L,T,acc_mean,acc_std,n_seeds
fc3rev_h128,128,weight_decay,normal,4,0,97.984000,0.382662,5
fc3rev_h128,128,weight_decay,normal,4,16,98.082000,0.339588,5
fc3rev_h128,128,weight_decay,normal,16,0,98.286000,0.168612,5
fc3rev_h128,128,weight_decay,normal,16,16,98.282000,0.159750,5
fc3rev_h16,16,weight_decay,normal,4,0,95.614000,0.242033,5
fc3rev_h16,16,weight_decay,normal,4,16,95.994000,0.259673,5
fc3rev_h16,16,weight_decay,normal,16,0,95.960000,0.233559,5
fc3rev_h16,16,weight_decay,normal,16,16,95.964000,0.199324,5
fc3rev_h256,256,weight_decay,normal,4,0,97.816000,0.502872,5
fc3rev_h256,256,weight_decay,normal,4,16,97.890000,0.491477,5
fc3rev_h256,256,weight_decay,normal,16,0,98.282000,0.147547,5
fc3rev_h256,256,weight_decay,normal,16,16,98.258000,0.130269,5
fc3rev_h32,32,weight_decay,normal,4,0,97.332000,0.381143,5
fc3rev_h32,32,weight_decay,normal,4,16,97.550000,0.308626,5
fc3rev_h32,32,weight_decay,normal,16,0,97.646000,0.276188,5
fc3rev_h32,32,weight_decay,normal,16,16,97.606000,0.298881,5
fc3rev_h4,4,weight_decay,normal,4,0,81.794000,11.648089,5
fc3rev_h4,4,weight_decay,normal,4,16,82.886000,10.528954,5
fc3rev_h4,4,weight_decay,normal,16,0,59.712000,33.079439,5
fc3rev_h4,4,weight_decay,normal,16,16,59.758000,33.119929,5
fc3rev_h64,64,weight_decay,normal,4,0,97.038000,1.250348,5
fc3rev_h64,64,weight_decay,normal,4,16,97.166000,1.240496,5
fc3rev_h64,64,weight_decay,normal,16,0,98.056000,0.076354,5
fc3rev_h64,64,weight_decay,normal,16,16,98.044000,0.082644,5
fc3rev_h8,8,weight_decay,normal,4,0,93.200000,1.304933,5
fc3rev_h8,8,weight_decay,normal,4,16,93.800000,1.283433,5
fc3rev_h8,8,weight_decay,normal,16,0,93.472000,0.691607,5
fc3rev_h8,8,weight_decay,normal,16,16,93.474000,0.722655,5
