method,sigma,acc
conv_mne_l2,0.54,92.670000
conv_mne_l2,0.56,92.480000
conv_mne_l2,0.58,92.580000
conv_mne_l2,0.60,92.450000
conv_mne_l2,0.62,92.600000
conv_mne_l2,0.64,92.250000
conv_mne_l2,0.66,92.530000
conv_mne_l2,0.68,92.440000
conv_mne_l2,0.70,92.460000
conv_mne_l2,0.72,92.230000
conv_mne_l2,0.74,92.440000
conv_mne_l2,0.76,92.090000
conv_mne_l2,0.78,92.150000
conv_mne_l2,0.80,92.210000
conv_mne_l2,0.82,92.080000
conv_mne_l2,0.84,92.070000
conv_mne_l2,0.86,92.180000
conv_mne_l2,0.88,92.090000
conv_mne_l2,0.90,91.850000
conv_mne_l2,0.92,91.880000
conv_mne_l2,0.94,91.600000
conv_mne_l2,0.96,91.800000
conv_mne_l2,0.98,91.800000
conv_mne_l2,1.00,91.750000
