L,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,73.550000,65.430000,56.780000,48.120000,39.440000,32.480000,26.350000,22.020000,18.440000,15.650000,14.150000,13.000000,12.070000,11.440000,11.030000,10.980000,10.640000
