L,T,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,16,87.860000,85.240000,75.780000,57.150000,40.610000,31.840000,26.640000,23.410000,20.240000,18.030000,16.500000,15.090000,14.430000
