arch,hidden_size,regularizer,if_mode,L,T,seed,sigma,acc,checkpoint,matrix_csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.00,85.140000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.05,85.050000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.10,84.930000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.15,84.910000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.20,84.250000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.25,84.160000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.30,83.480000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.35,82.950000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.40,82.170000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.45,81.900000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.50,80.870000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.55,80.050000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.60,78.720000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.65,77.390000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.70,76.470000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.75,75.110000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.80,74.330000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.85,72.820000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.90,71.340000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,0.95,69.910000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,1.00,68.200000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/weight_decay/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
