L,T,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,16,67.420000,55.540000,42.580000,32.440000,24.670000,19.670000,16.150000,14.270000,13.040000,11.960000,11.420000,11.020000,10.650000,10.480000,10.320000,10.270000,10.170000
