method,method_label,sigma,n,acc_mean,acc_std
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0,1,88.390000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.25,1,86.570000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.5,1,81.370000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.75,1,69.630000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1,1,53.300000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.25,1,38.220000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.5,1,29.380000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.75,1,24.030000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2,1,20.650000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.25,1,17.840000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.5,1,15.750000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.75,1,14.800000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),3,1,13.880000,0.000000
old_detach,Old MNE (detach λ),0,1,88.060000,0.000000
old_detach,Old MNE (detach λ),0.25,1,86.590000,0.000000
old_detach,Old MNE (detach λ),0.5,1,82.000000,0.000000
old_detach,Old MNE (detach λ),0.75,1,70.550000,0.000000
old_detach,Old MNE (detach λ),1,1,53.410000,0.000000
old_detach,Old MNE (detach λ),1.25,1,36.920000,0.000000
old_detach,Old MNE (detach λ),1.5,1,27.380000,0.000000
old_detach,Old MNE (detach λ),1.75,1,21.210000,0.000000
old_detach,Old MNE (detach λ),2,1,18.140000,0.000000
old_detach,Old MNE (detach λ),2.25,1,15.200000,0.000000
old_detach,Old MNE (detach λ),2.5,1,13.600000,0.000000
old_detach,Old MNE (detach λ),2.75,1,12.960000,0.000000
old_detach,Old MNE (detach λ),3,1,12.180000,0.000000
weight_decay,L2-all (all params),0,1,89.120000,0.000000
weight_decay,L2-all (all params),0.25,1,86.850000,0.000000
weight_decay,L2-all (all params),0.5,1,79.400000,0.000000
weight_decay,L2-all (all params),0.75,1,66.160000,0.000000
weight_decay,L2-all (all params),1,1,47.690000,0.000000
weight_decay,L2-all (all params),1.25,1,33.470000,0.000000
weight_decay,L2-all (all params),1.5,1,25.820000,0.000000
weight_decay,L2-all (all params),1.75,1,20.790000,0.000000
weight_decay,L2-all (all params),2,1,18.200000,0.000000
weight_decay,L2-all (all params),2.25,1,15.660000,0.000000
weight_decay,L2-all (all params),2.5,1,14.130000,0.000000
weight_decay,L2-all (all params),2.75,1,13.600000,0.000000
weight_decay,L2-all (all params),3,1,12.630000,0.000000
weight_decay_weights_only,L2-wo (weights only),0,1,88.330000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.25,1,87.990000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.5,1,84.590000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.75,1,77.160000,0.000000
weight_decay_weights_only,L2-wo (weights only),1,1,64.960000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.25,1,49.700000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.5,1,37.180000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.75,1,30.500000,0.000000
weight_decay_weights_only,L2-wo (weights only),2,1,25.690000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.25,1,22.100000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.5,1,19.410000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.75,1,17.160000,0.000000
weight_decay_weights_only,L2-wo (weights only),3,1,15.660000,0.000000
