dataset,method,method_label,sigma,n,acc_mean,acc_std
cifar10,old_detach,MNE-standard,0,1,34.510000,0.000000
cifar10,old_detach,MNE-standard,0.1,1,34.530000,0.000000
cifar10,old_detach,MNE-standard,0.2,1,34.720000,0.000000
cifar10,old_detach,MNE-standard,0.3,1,34.360000,0.000000
cifar10,old_detach,MNE-standard,0.4,1,34.520000,0.000000
cifar10,old_detach,MNE-standard,0.5,1,34.040000,0.000000
cifar10,old_detach,MNE-standard,0.6,1,34.480000,0.000000
cifar10,old_detach,MNE-standard,0.7,1,34.230000,0.000000
cifar10,old_detach,MNE-standard,0.8,1,34.270000,0.000000
cifar10,old_detach,MNE-standard,0.9,1,34.150000,0.000000
cifar10,old_detach,MNE-standard,1,1,33.970000,0.000000
