dataset,method,sigma,if_name,n_channels,r_mean,m_mean,q_mean,A_mean,p_cross_mean,p_bound_mean,D_mean,S_mean
cifar10,l2wo,0.25,layer1.6,64,107.74561160802841,88.9261180460453,1.2956516444683075,0.5455157076718468,0.06725250549316406,0.013498067024468038,4.7656830239355424e-08,3.9012814978286625e-09
cifar10,l2wo,0.25,layer2.2,128,113.21696296334267,72.82698814570904,1.1418585944920778,0.3230448458667358,0.06707066345214843,0.01622602516795741,3.837316814929285e-08,2.7366950778224668e-09
cifar10,l2wo,0.25,layer2.6,128,34.15116768889129,24.907737608999014,1.0,0.32216851985062384,0.04658398132324219,0.010201028826041146,3.5613158466431266e-08,1.7385886855832907e-09
cifar10,l2wo,0.25,layer3.2,256,131.1649742797017,64.37367958202958,1.1101916786283255,0.24962084567659498,0.0423745849609375,0.009073875161173056,1.930122833933507e-08,8.309484197435273e-10
cifar10,l2wo,0.25,layer3.6,256,69.83237710595131,35.806831726804376,1.0,0.32350994563500957,0.04181329345703125,0.008698740445973817,1.889642625258186e-08,8.147906432667966e-10
cifar10,l2wo,0.25,layer3.10,256,88.18450982496142,28.99623524490744,1.0142514873296022,0.21942701056833347,0.03530333251953126,0.007173736011172878,1.0289180784783541e-08,3.7786421792963533e-10
cifar10,l2wo,0.25,layer4.2,512,157.74576537311077,20.37930440530181,1.2450973098166287,0.12939522256200045,0.02901024169921875,0.006217055326569244,2.514768612242593e-09,7.393675722877492e-11
cifar10,l2wo,0.25,layer4.6,512,21.13079341314733,1.5182263551978394,1.0,0.0985587326840527,0.030063195800781248,0.006131530079789808,6.978675880550684e-10,2.1630493797264612e-11
cifar10,l2wo,0.25,layer4.10,512,7.8798263957723975,0.2406968068680726,1.0,0.08153087858692962,0.03040316162109375,0.00630751827316999,3.0519830053777216e-10,9.474903621400885e-12
cifar10,l2wo,0.25,layer5.2,512,14.75504264049232,0.42610214120941237,1.0,0.09640689328227112,0.038845849609375,0.008101571241584315,7.697182381712463e-10,3.04623547483452e-11
