dataset,arch,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,noise_position,sigma,acc,checkpoint,matrix_csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0,34.780000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0.1,34.860000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0.2,34.680000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0.3,34.730000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0.4,34.560000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0.5,34.700000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0.6,34.700000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0.7,34.680000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0.8,34.590000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,no_reg,No-reg,weight_decay,,0,42,16,0,16,post_input_if,0.9,34.270000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_no_reg_rcnone_seed42_L16_trainT0.pth,../important_results/cifar_mlp_bnfree_fc5_four_regs_seed42/cifar10/fc5_cifar/no_reg/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
