dataset,method,method_label,sigma,n,acc_mean,acc_std
cifar10,manual_l2_all,L2 all,0,1,51.310000,0.000000
cifar10,manual_l2_all,L2 all,0.1,1,51.150000,0.000000
cifar10,manual_l2_all,L2 all,0.2,1,51.020000,0.000000
cifar10,manual_l2_all,L2 all,0.3,1,50.900000,0.000000
cifar10,manual_l2_all,L2 all,0.4,1,50.930000,0.000000
cifar10,manual_l2_all,L2 all,0.5,1,50.910000,0.000000
cifar10,manual_l2_all,L2 all,0.6,1,50.840000,0.000000
cifar10,manual_l2_all,L2 all,0.7,1,50.840000,0.000000
cifar10,manual_l2_all,L2 all,0.8,1,49.990000,0.000000
cifar10,manual_l2_all,L2 all,0.9,1,50.330000,0.000000
cifar10,manual_l2_all,L2 all,1,1,50.100000,0.000000
cifar10,no_reg,No-reg,0,1,34.780000,0.000000
cifar10,no_reg,No-reg,0.1,1,34.860000,0.000000
cifar10,no_reg,No-reg,0.2,1,34.680000,0.000000
cifar10,no_reg,No-reg,0.3,1,34.730000,0.000000
cifar10,no_reg,No-reg,0.4,1,34.560000,0.000000
cifar10,no_reg,No-reg,0.5,1,34.700000,0.000000
cifar10,no_reg,No-reg,0.6,1,34.700000,0.000000
cifar10,no_reg,No-reg,0.7,1,34.680000,0.000000
cifar10,no_reg,No-reg,0.8,1,34.590000,0.000000
cifar10,no_reg,No-reg,0.9,1,34.270000,0.000000
cifar10,no_reg,No-reg,1,1,34.300000,0.000000
cifar10,old_detach,MNE-standard,0,1,37.720000,0.000000
cifar10,old_detach,MNE-standard,0.1,1,37.760000,0.000000
cifar10,old_detach,MNE-standard,0.2,1,37.710000,0.000000
cifar10,old_detach,MNE-standard,0.3,1,37.810000,0.000000
cifar10,old_detach,MNE-standard,0.4,1,37.480000,0.000000
cifar10,old_detach,MNE-standard,0.5,1,37.900000,0.000000
cifar10,old_detach,MNE-standard,0.6,1,37.720000,0.000000
cifar10,old_detach,MNE-standard,0.7,1,37.680000,0.000000
cifar10,old_detach,MNE-standard,0.8,1,37.290000,0.000000
cifar10,old_detach,MNE-standard,0.9,1,37.520000,0.000000
cifar10,old_detach,MNE-standard,1,1,37.450000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,0,1,51.980000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,0.1,1,51.830000,0.000000
cifar10,weight_decay_weights_only,L2 weights-only,0.2,1,51.950000,0.000000
