seed,depth,n_lambda,weights_val_ann_acc,all_val_ann_acc,delta_val_ann_acc,weights_test_ann_acc,all_test_ann_acc,delta_test_ann_acc,weights_train_val_gap,all_train_val_gap,delta_train_val_gap,weights_snn_sigma0_acc,all_snn_sigma0_acc,delta_snn_sigma0_acc,weights_snn_sigma1_acc,all_snn_sigma1_acc,delta_snn_sigma1_acc,weights_snn_drop,all_snn_drop,delta_snn_drop,weights_lambda_mean,all_lambda_mean,delta_lambda_mean,weights_gamma_abs_mean,all_gamma_abs_mean,delta_gamma_abs_mean
42,20,21,88.1,88.39,0.29000000000000625,86.98,87.14,0.1599999999999966,1.5740000000000123,1.5480000000000018,-0.02600000000001046,83.87,84.01,0.14000000000000057,45.913333333333334,47.633333333333326,1.7199999999999918,37.95666666666667,36.37666666666668,-1.5799999999999912,7.901634693145752,6.77786922454834,-1.123765468597412,1.089429497718811,0.9484506845474243,-0.14097881317138672
42,40,41,87.28,87.7,0.4200000000000017,86.49,86.51,0.020000000000010232,1.8900000000000006,1.6559999999999917,-0.23400000000000887,80.33,82.69,2.3599999999999994,27.00666666666667,29.27333333333333,2.2666666666666586,53.32333333333332,53.41666666666667,0.09333333333334792,7.951211929321289,6.8305230140686035,-1.1206889152526855,1.0395889282226562,0.8968229293823242,-0.14276599884033203
42,60,61,87.09,87.02,-0.07000000000000739,85.89,86.26,0.37000000000000455,1.445999999999998,1.608000000000004,0.16200000000000614,80.7,83.22,2.519999999999996,27.58,30.13,2.5500000000000007,53.120000000000005,53.09,-0.030000000000001137,7.975846767425537,6.849804878234863,-1.1260418891906738,1.0159131288528442,0.8779608011245728,-0.13795232772827148
42,80,81,87.03,87.01,-0.01999999999999602,86.27,86.59,0.3200000000000074,1.5919999999999987,1.461999999999989,-0.13000000000000966,82.96,82.96,0.0,32.21666666666667,25.44333333333333,-6.773333333333337,50.743333333333325,57.516666666666666,6.7733333333333405,7.986871242523193,6.862347602844238,-1.124523639678955,1.0073493719100952,0.867117702960968,-0.1402316689491272
43,20,21,87.72,87.94,0.21999999999999886,86.96,87.3,0.3400000000000034,1.9140000000000015,1.671999999999997,-0.24200000000000443,81.74,83.06,1.3200000000000074,31.959999999999997,32.486666666666665,0.5266666666666673,49.78,50.57333333333334,0.7933333333333366,7.896148681640625,6.786201000213623,-1.109947681427002,1.087340235710144,0.9452703595161438,-0.14206987619400024
43,40,41,87.76,87.63,-0.13000000000000966,86.76,86.91,0.14999999999999147,1.6299999999999955,1.8539999999999992,0.22400000000000375,84.05,83.44,-0.6099999999999994,33.446666666666665,37.046666666666674,3.6000000000000085,50.60333333333333,46.393333333333324,-4.210000000000008,7.95311164855957,6.8288679122924805,-1.1242437362670898,1.0360320806503296,0.8966032266616821,-0.13942885398864746
43,60,61,87.22,87.19,-0.030000000000001137,86.56,86.53,-0.030000000000001137,1.7519999999999953,1.4939999999999998,-0.25799999999999557,83.32,81.55,-1.769999999999996,34.39333333333334,42.45333333333334,8.060000000000002,48.926666666666655,39.09666666666666,-9.829999999999998,7.969475746154785,6.847041130065918,-1.1224346160888672,1.02230966091156,0.8794605731964111,-0.14284908771514893
43,80,81,87.14,87.61,0.46999999999999886,86.17,86.16,-0.010000000000005116,1.5660000000000025,1.1359999999999957,-0.4300000000000068,84.04,83.25,-0.7900000000000063,33.79333333333333,36.076666666666675,2.2833333333333456,50.24666666666668,47.173333333333325,-3.073333333333352,7.986327171325684,6.87281608581543,-1.113511085510254,1.008033275604248,0.8678336143493652,-0.1401996612548828
