depth,n_lambda,n_seeds,weights_val_ann_acc_mean,weights_val_ann_acc_std,all_val_ann_acc_mean,all_val_ann_acc_std,delta_val_ann_acc_mean,delta_val_ann_acc_std,weights_test_ann_acc_mean,weights_test_ann_acc_std,all_test_ann_acc_mean,all_test_ann_acc_std,delta_test_ann_acc_mean,delta_test_ann_acc_std,weights_train_val_gap_mean,weights_train_val_gap_std,all_train_val_gap_mean,all_train_val_gap_std,delta_train_val_gap_mean,delta_train_val_gap_std,weights_snn_sigma0_acc_mean,weights_snn_sigma0_acc_std,all_snn_sigma0_acc_mean,all_snn_sigma0_acc_std,delta_snn_sigma0_acc_mean,delta_snn_sigma0_acc_std,weights_snn_sigma1_acc_mean,weights_snn_sigma1_acc_std,all_snn_sigma1_acc_mean,all_snn_sigma1_acc_std,delta_snn_sigma1_acc_mean,delta_snn_sigma1_acc_std,weights_snn_drop_mean,weights_snn_drop_std,all_snn_drop_mean,all_snn_drop_std,delta_snn_drop_mean,delta_snn_drop_std,weights_lambda_mean_mean,weights_lambda_mean_std,all_lambda_mean_mean,all_lambda_mean_std,delta_lambda_mean_mean,delta_lambda_mean_std,weights_gamma_abs_mean_mean,weights_gamma_abs_mean_std,all_gamma_abs_mean_mean,all_gamma_abs_mean_std,delta_gamma_abs_mean_mean,delta_gamma_abs_mean_std
20,21,2,87.91,0.26870057685088483,88.16499999999999,0.3181980515339484,0.25500000000000256,0.04949747468306355,86.97,0.014142135623738186,87.22,0.11313708498984519,0.25,0.12727922061358338,1.7440000000000069,0.24041630560341853,1.6099999999999994,0.08768124086712852,-0.13400000000000745,0.15273506473629,82.805,1.5061374439273532,83.535,0.6717514421272222,0.730000000000004,0.8343860018001309,38.93666666666667,9.866496620156296,40.059999999999995,10.710310712372236,1.1233333333333295,0.8438140922159405,43.86833333333334,8.360359176228945,43.47500000000001,10.038559270245013,-0.3933333333333273,1.6782000940160688,7.8988916873931885,0.003879195936942687,6.7820351123809814,0.005891455072246811,-1.116856575012207,0.009770651009189498,1.0883848667144775,0.0014773313340038577,0.9468605220317841,0.002248829395995773,-0.14152434468269348,0.0007714980619919152
40,41,2,87.52000000000001,0.3394112549695456,87.66499999999999,0.04949747468306355,0.14499999999999602,0.3889087296526092,86.625,0.19091883092037507,86.71000000000001,0.28284271247461296,0.08500000000000085,0.09192388155423792,1.759999999999998,0.18384776310850598,1.7549999999999955,0.14000714267494171,-0.005000000000002558,0.32385490578344767,82.19,2.630437226013956,83.065,0.5303300858899106,0.875,2.100107140124045,30.226666666666667,4.553767670841362,33.160000000000004,5.496576712423437,2.9333333333333336,0.9428090415820751,51.963333333333324,1.9233304448274033,49.905,4.966246626533529,-2.05833333333333,3.0429161817061257,7.95216178894043,0.0013433043557392146,6.829695463180542,0.0011703336894505055,-1.1224663257598877,0.00251363804518972,1.037810504436493,0.0025150710380390903,0.8967130780220032,0.0001553532836111554,-0.14109742641448975,0.002359717754427935
60,61,2,87.155,0.09192388155424797,87.10499999999999,0.12020815280171429,-0.05000000000000426,0.02828427124746632,86.225,0.47376154339498805,86.39500000000001,0.19091883092036502,0.1700000000000017,0.282842712474623,1.5989999999999966,0.2163746750430817,1.551000000000002,0.08061017305526948,-0.047999999999994714,0.2969848480983512,82.00999999999999,1.8526197667087476,82.38499999999999,1.1808683245815357,0.375,3.033488091290283,30.986666666666668,4.817754202484348,36.29166666666667,8.713912566822227,5.3050000000000015,3.896158364337878,51.023333333333326,2.9651344357756004,46.093333333333334,9.894780891403764,-4.93,6.929646455628164,7.972661256790161,0.004504992343632441,6.848423004150391,0.0019542650717531344,-1.1242382526397705,0.002550727271879307,1.0191113948822021,0.004523031194795104,0.8787106871604919,0.0010604990022311156,-0.1404007077217102,0.003462532192563988
80,81,2,87.08500000000001,0.07778174593051983,87.31,0.4242640687119245,0.22500000000000142,0.3464823227814047,86.22,0.07071067811865073,86.375,0.30405591591022024,0.15500000000000114,0.23334523779156952,1.5790000000000006,0.018384776310847582,1.2989999999999924,0.23051681066680982,-0.28000000000000824,0.21213203435596226,83.5,0.7636753236814802,83.10499999999999,0.2050609665441032,-0.3950000000000031,0.558614357137377,33.004999999999995,1.114871691670786,30.760000000000005,7.518902106616962,-2.2449999999999957,6.404030414946177,50.495000000000005,0.3511963679893057,52.345,7.313841140072862,1.8499999999999943,6.962644772083556,7.9865992069244385,0.00038471643320744074,6.867581844329834,0.007402335297665341,-1.1190173625946045,0.007787051730872781,1.0076913237571716,0.00048359293981399814,0.8674756586551666,0.0005062257974643483,-0.140215665102005,2.2632857650350095e-05
