model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
cnn2,old_detach,MNE-L2,40,16,16,both,0,0,20300801,83.370000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.25,0,20300901,77.670000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.25,1,20300902,77.320000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.25,2,20300903,77.300000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.5,0,20301001,51.960000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.5,1,20301002,52.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.5,2,20301003,51.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0,0,20300801,83.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.25,0,20300901,75.530000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.25,1,20300902,75.510000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.25,2,20300903,75.400000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.5,0,20301001,43.040000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.5,1,20301002,43.240000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.5,2,20301003,43.110000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0,0,20300801,83.980000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.25,0,20300901,69.340000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.25,1,20300902,69.070000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.25,2,20300903,69.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.5,0,20301001,24.940000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.5,1,20301002,25.040000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.5,2,20301003,25.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,0,0,20300801,83.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,0.25,0,20300901,74.880000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,0.25,1,20300902,74.830000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,0.25,2,20300903,74.820000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,0.5,0,20301001,46.480000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,0.5,1,20301002,45.950000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,0.5,2,20301003,46.160000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,0,0,20301801,82.860000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,0.25,0,20301901,78.630000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,0.25,1,20301902,78.500000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,0.25,2,20301903,78.660000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,0.5,0,20302001,71.310000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,0.5,1,20302002,71.290000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,0.5,2,20302003,71.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,41,16,16,both,0,0,20301801,82.990000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,41,16,16,both,0.25,0,20301901,76.250000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,41,16,16,both,0.25,1,20301902,76.800000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,41,16,16,both,0.25,2,20301903,76.370000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,41,16,16,both,0.5,0,20302001,66.300000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,41,16,16,both,0.5,1,20302002,66.240000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,41,16,16,both,0.5,2,20302003,66.250000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0,0,20301801,83.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0.25,0,20301901,72.860000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0.25,1,20301902,72.960000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0.25,2,20301903,73.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0.5,0,20302001,46.400000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0.5,1,20302002,47.000000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,l2,L2,41,16,16,both,0.5,2,20302003,46.810000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,41,16,16,both,0,0,20301801,82.970000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,41,16,16,both,0.25,0,20301901,75.410000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
