arch,c1,c2,size_label,regularizer,sigma,acc_mean,acc_std,n_seeds
cnn2_c8_c16,8,16,c8c16,mne_l2,0.9,93.622000,3.022279,5
cnn2_c8_c16,8,16,c8c16,mne_l2,1.0,93.432000,3.019813,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.0,98.816000,0.069498,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.1,98.734000,0.091542,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.2,98.574000,0.211495,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.3,98.114000,0.533179,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.4,97.056000,1.370595,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.5,95.316000,2.659940,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.6,92.950000,4.596803,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.7,90.036000,6.853534,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.8,86.810000,9.268109,5
cnn2_c8_c16,8,16,c8c16,weight_decay,0.9,83.620000,11.334172,5
cnn2_c8_c16,8,16,c8c16,weight_decay,1.0,80.326000,13.188293,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.0,98.804000,0.118237,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.1,98.562000,0.325761,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.2,97.670000,1.464957,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.3,96.168000,3.687326,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.4,94.798000,5.739710,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.5,93.764000,7.484453,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.6,92.874000,8.491165,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.7,92.046000,9.244989,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.8,91.052000,9.860926,5
cnn2_c8_c16,8,16,c8c16,no_regularization,0.9,90.048000,10.460500,5
cnn2_c8_c16,8,16,c8c16,no_regularization,1.0,89.052000,10.732927,5
cnn2_c16_c32,16,32,c16c32,mne_l2,0.0,97.818000,0.575213,5
