epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
25.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3449710486883443,3.4497104868834426e-05,1.4081815697452413,2.4497625597440116e-05,60.482,64.99,555.087850689888
26.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.33944752494310315,3.394475249431032e-05,1.4347022542315244,2.3659788917312525e-05,61.82,66.79,538.7180111408234
27.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.33767029574182333,3.3767029574182334e-05,1.3895269387871485,2.43010974682189e-05,62.26,67.0,527.1378926038742
28.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3340309818831331,3.3403098188313313e-05,1.3223521960887556,2.5260364286543912e-05,62.676,67.69,516.8273282051086
29.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.33682916096698196,3.3682916096698195e-05,1.381769781087815,2.437664838073164e-05,63.864,67.02,505.8386017680168
30.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3239111791521811,3.239111791521811e-05,1.3428405953269889,2.4121342494364122e-05,64.324,67.31,498.2340354323387
31.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.33515357992357997,3.3515357992358e-05,1.379933991301445,2.428765303530856e-05,64.968,67.68,487.6483753323555
32.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.32375553373537874,3.237555337353788e-05,1.5295795406817327,2.116630911466566e-05,65.578,68.08,477.5151934623718
33.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3301757803473801,3.3017578034738014e-05,1.3896808153660478,2.3759109048390398e-05,65.974,68.27,470.956032037735
34.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.32137645240227003,3.2137645240227006e-05,1.3349566088162848,2.407392497103234e-05,66.842,69.31,459.74524116516113
35.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.32415340667085496,3.24153406670855e-05,1.399324009077556,2.316499999771598e-05,67.312,68.27,452.21150147914886
36.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3191435216704526,3.191435216704526e-05,1.5899923455998421,2.0072016230370733e-05,68.026,69.19,441.5082259774208
37.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3154056897202352,3.154056897202352e-05,1.6255228857995692,1.94033373799651e-05,68.292,69.5,435.99804228544235
38.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3088110116713528,3.088110116713528e-05,1.4542440204601907,2.123515774014533e-05,68.64,69.26,431.48981791734695
39.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3101223902512763,3.101223902512763e-05,1.3803104669742037,2.2467582306399487e-05,69.252,69.53,422.93602508306503
