dataset,variant,variant_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,0.75,1,22.290000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,0.8,1,22.270000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,0.85,1,22.280000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,0.9,1,22.270000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,0.95,1,22.590000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,1,1,22.410000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0,1,45.150000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.05,1,45.050000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.1,1,45.110000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.15,1,45.140000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.2,1,45.000000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.25,1,45.130000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.3,1,45.160000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.35,1,45.170000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.4,1,45.150000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,0.45,1,45.040000,0.000000
