site,method,method_label,clean_acc,end_sigma,end_acc,absolute_drop,end_retention,curve_acc_auc,curve_retention_auc
both,l2,L2,82.953333,1,16.423333,66.530000,0.197983,41.334167,0.498282
both,no_reg,No Reg,82.656667,1,24.046667,58.610000,0.290922,51.220833,0.619682
both,old_detach,MNE-L2,82.656667,1,29.796667,52.860000,0.360487,54.951667,0.664818
both,orthogonal,Orthogonal,82.593333,1,28.683333,53.910000,0.347284,54.562500,0.660616
