block,has_shortcut_conv,kappa_res_mean,kappa_sc_mean,phi_res_mean,phi_sc_mean,cov_mean,frac_phi_neg_res,frac_phi_neg_sc,delta_u_rms_mean
conv2_x.0,0,1.852038860321045,0.14794647693634033,0.5543204545974731,0.010186607018113136,0.0001845229126047343,0.0,0.0,0.6366786956787109
conv2_x.1,0,0.5119123458862305,1.4879388809204102,0.004245067946612835,0.010003091767430305,-2.931743665612885e-06,0.0,0.0,0.11839346587657928
conv3_x.0,1,1.5566585063934326,0.44328776001930237,0.03949781507253647,0.010534116998314857,-9.180552297038957e-06,0.0,0.0,0.21566680073738098
conv3_x.1,0,0.30687838792800903,1.6929521560668945,0.0020604736637324095,0.009999114088714123,8.304997436425765e-07,0.0,0.0,0.10948050767183304
conv4_x.0,1,1.5790131092071533,0.41294065117836,0.007786008529365063,0.0020012364257127047,2.229160145361675e-07,0.0,0.0,0.09718626737594604
conv4_x.1,0,0.343883752822876,1.6559507846832275,0.002661751350387931,0.010018778964877129,-1.8802395516104298e-06,0.00390625,0.0,0.11177119612693787
conv5_x.0,1,0.5947293043136597,1.405200719833374,0.009099850431084633,0.02187047153711319,-1.1604959581745788e-05,0.0,0.0,0.17417646944522858
conv5_x.1,0,0.6210204362869263,1.3788416385650635,0.004914159420877695,0.010008804500102997,-2.0130480606894707e-06,0.0,0.0,0.1217050701379776
