sigma,conv_mne_l2,mne_l2,weight_decay,no_regularization
0.00,97.810000,97.920000,98.540000,98.440000
0.10,97.740000,97.950000,98.030000,98.240000
0.20,97.740000,97.840000,96.960000,97.140000
0.30,97.760000,97.760000,96.160000,94.980000
0.40,97.690000,97.740000,94.890000,91.440000
0.50,97.760000,97.590000,93.130000,87.170000
0.60,97.660000,97.660000,91.290000,83.330000
0.70,97.640000,97.490000,89.650000,80.110000
0.80,97.340000,97.430000,86.540000,77.280000
0.90,97.340000,97.310000,83.460000,75.490000
1.00,96.960000,97.140000,80.100000,73.090000
