method,method_label,clean_sigma,clean_acc_mean,end_sigma,end_acc_mean,absolute_drop,relative_retention
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0,85.850000,3,18.490000,67.360000,0.215376
old_detach,Old MNE (detach λ),0,85.620000,3,22.170000,63.450000,0.258935
weight_decay,L2-all (all params),0,85.750000,3,19.740000,66.010000,0.230204
weight_decay_weights_only,L2-wo (weights only),0,86.010000,3,18.190000,67.820000,0.211487
