dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,clean_sigma,clean_acc_mean,clean_acc_std,end_sigma,end_acc_mean,end_acc_std,absolute_drop,relative_retention
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,0,90.540000,0.000000,5,10.000000,0.000000,80.540000,0.110448
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,0,90.710000,0.000000,5,16.560000,0.000000,74.150000,0.182560
cifar10,manual_l2_w_bn_gamma,manual_l2_weights_plus_bn_gamma,manual_l2_w_bn_gamma,0.00025,none,0,90.970000,0.000000,5,10.000000,0.000000,80.970000,0.109926
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0,91.170000,0.000000,5,17.390000,0.000000,73.780000,0.190743
