dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,0,1,90.540000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,0.25,1,90.060000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,0.5,1,85.040000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,0.75,1,63.630000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,1,1,24.410000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,1.25,1,11.770000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,1.5,1,10.200000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,1.75,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,2,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,2.25,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,2.5,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,2.75,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,3,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,3.25,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,3.5,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,3.75,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,4,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,4.25,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,4.5,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,4.75,1,10.000000,0.000000
cifar10,manual_l2_w_bn,manual_l2_weights_plus_bn,manual_l2_w_bn,0.00025,none,5,1,10.000000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,0,1,90.710000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,0.25,1,90.580000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,0.5,1,90.630000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,0.75,1,90.410000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,1,1,90.190000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,1.25,1,89.570000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,1.5,1,88.860000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,1.75,1,88.000000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,2,1,86.380000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,2.25,1,83.980000,0.000000
cifar10,manual_l2_w_bn_beta,manual_l2_weights_plus_bn_beta,manual_l2_w_bn_beta,0.00025,none,2.5,1,80.820000,0.000000
