L,T,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
8,8,86.920000,86.620000,85.010000,83.920000,81.580000,78.810000,75.430000,71.100000,66.600000,61.670000,56.940000,52.370000,48.350000,45.090000,41.500000,39.390000,36.740000,35.160000,33.490000,32.820000,31.270000
