arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h16,16,weight_decay,rate_uniform,16,16,1.00,94.878000,0.577339,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.00,97.732000,0.293718,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.05,97.712000,0.299533,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.10,97.688000,0.258786,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.15,97.668000,0.328968,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.20,97.634000,0.312858,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.25,97.602000,0.314118,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.30,97.616000,0.306888,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.35,97.600000,0.280446,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.40,97.590000,0.305614,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.45,97.560000,0.295212,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.50,97.588000,0.278155,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.55,97.512000,0.294398,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.60,97.492000,0.275264,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.65,97.460000,0.382296,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.70,97.448000,0.335291,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.75,97.428000,0.363964,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.80,97.402000,0.409231,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.85,97.290000,0.354965,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.90,97.272000,0.405549,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.95,97.190000,0.473973,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,1.00,97.214000,0.456979,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.00,98.022000,0.149064,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.05,98.014000,0.120955,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.10,98.004000,0.124619,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.15,98.006000,0.099649,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.20,97.962000,0.105688,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.25,97.928000,0.091761,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.30,97.966000,0.119917,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.35,97.948000,0.148560,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.40,97.928000,0.125579,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.45,97.904000,0.158524,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.50,97.938000,0.129112,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.55,97.880000,0.106771,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.60,97.876000,0.141527,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.65,97.780000,0.084558,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.70,97.850000,0.113358,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.75,97.736000,0.092087,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.80,97.756000,0.150433,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.85,97.658000,0.131034,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.90,97.698000,0.116919,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.95,97.668000,0.175414,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,1.00,97.594000,0.087920,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.00,98.040000,0.113358,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.05,98.020000,0.093808,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.10,98.018000,0.113446,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.15,98.004000,0.125419,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.20,97.972000,0.150399,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.25,97.976000,0.121367,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.30,97.926000,0.142759,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.35,97.932000,0.122760,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.40,97.962000,0.101833,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.45,97.918000,0.074297,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.50,97.956000,0.102372,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.55,97.842000,0.145155,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.60,97.914000,0.110815,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.65,97.824000,0.107378,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.70,97.832000,0.072938,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.75,97.832000,0.105688,5
fc3rev_h128,128,weight_decay,rate_uniform,16,16,0.80,97.724000,0.110136,5
