arch,hidden_size,T0_L4_mean,T0_L4_std,T16_L4_mean,T16_L4_std,Gap_L4_T0_minus_T16,T0_L16_mean,T0_L16_std,T16_L16_mean,T16_L16_std,Gap_L16_T0_minus_T16
fc3rev_h4,4,85.602000,2.662765,86.448000,2.613947,-0.846000,68.786000,32.152072,68.786000,32.152072,0.000000
fc3rev_h8,8,93.638000,0.952323,94.154000,1.028703,-0.516000,93.758000,0.892816,93.758000,0.892816,0.000000
