arch,hidden_size,regularizer,if_mode,L,T,seed,sigma,acc,checkpoint,matrix_csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.75,86.650000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.80,85.720000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.85,84.880000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.90,83.200000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.95,83.140000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,1.00,81.720000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.00,94.420000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.05,94.320000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.10,94.140000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.15,94.160000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.20,94.100000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.25,93.820000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.30,93.750000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.35,93.690000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.40,93.610000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.45,93.230000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.50,93.310000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.55,93.070000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.60,92.840000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.65,92.450000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.70,92.240000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.75,92.300000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.80,91.690000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.85,91.400000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.90,91.020000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,0.95,90.370000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,41,1.00,89.710000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_41/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.00,93.030000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.05,92.920000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.10,92.890000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,42,0.15,92.920000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_42/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
