L,T,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
16,16,77.930000,78.060000,78.010000,77.850000,77.870000,77.810000,77.640000,77.550000,77.690000,77.400000,77.810000,77.620000,77.300000,77.370000,76.980000,77.030000,77.110000,77.260000,77.170000,77.530000,77.310000
