L,T,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,16,26.720000,20.180000,15.220000,12.000000,9.680000,7.980000,6.980000,5.800000,5.250000,4.580000,3.960000,3.600000,3.180000,2.920000,2.770000,2.460000,2.360000
