L,T,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,16,90.080000,87.550000,77.390000,66.760000,56.210000,46.470000,37.740000,31.550000,27.180000,24.070000,21.510000,19.700000,18.530000
