dataset,arch,method,label,reg_coeff,weight_decay,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.65,23.58,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.7,20.28,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.75,17.73,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.8,16.01,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.85,14.91,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.9,14.07,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.95,13.04,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,1.0,12.32,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.0,90.45,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.05,90.03,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
