dataset,model,method,method_label,seed,L,T,site,sigma,sigma_scale,scale_reference,actual_sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.25,absolute,1,0.25,2,20302903,82.040000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.5,absolute,1,0.5,0,20303001,70.340000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.5,absolute,1,0.5,1,20303002,71.270000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.5,absolute,1,0.5,2,20303003,71.260000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.75,absolute,1,0.75,0,20303101,58.860000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.75,absolute,1,0.75,1,20303102,59.440000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,0.75,absolute,1,0.75,2,20303103,58.390000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,1,absolute,1,1,0,20303201,48.750000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,1,absolute,1,1,1,20303202,47.810000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,manual_l2_all,Manual L2 (all params),42,16,16,post_input_if,1,absolute,1,1,2,20303203,48.950000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
