site,method,method_label,sigma,n,acc_mean,acc_std
both,l2,L2,0,5,75.756000,5.154011
both,l2,L2,0.25,5,64.479333,6.678516
both,l2,L2,0.5,5,30.751333,7.494713
both,no_reg,No Reg,0,5,71.414000,7.284664
both,no_reg,No Reg,0.25,5,65.118000,5.165027
both,no_reg,No Reg,0.5,5,37.530000,4.686156
both,old_detach,MNE-L2,0,5,74.712000,3.370997
both,old_detach,MNE-L2,0.25,5,65.746667,5.519366
both,old_detach,MNE-L2,0.5,5,42.014000,6.482221
both,orthogonal,Orthogonal,0,5,72.118000,7.454748
both,orthogonal,Orthogonal,0.25,5,66.724667,4.179013
both,orthogonal,Orthogonal,0.5,5,41.979333,5.493608
