arch,hidden_size,regularizer,if_mode,L,T,seed,sigma,acc,checkpoint,matrix_csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.85,77.930000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.90,78.390000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,0.95,77.650000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,40,1.00,77.940000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_40/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.00,81.420000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.05,81.240000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.10,81.250000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.15,81.370000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.20,81.150000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.25,81.340000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.30,81.130000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.35,80.910000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.40,81.250000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.45,81.090000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.50,80.900000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.55,80.680000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc3rev_h8,8,mne_l2,rate_uniform,16,16,41,0.60,80.940000,,important results/fashion_mnist_fc3rev_three_regs/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/mne_l2/seed_41/noise_sweep_matrix_fashion_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
