method,alpha,ann_acc,snn_sigma0,snn_sigma1,drop,checkpoint
l2_wo,,84.530000,83.710000,69.920000,13.790000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_l2_wo_seed42_ep2_L16.pth
cmne_a0,0,84.530000,83.710000,69.920000,13.790000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_calibrated_mne_cnn2_c8_c16_cmne_a0_seed42_ep2_L16.pth
