arch,hidden_size,regularizer,L,T,seed,if_mode,acc,checkpoint
fc3_h4,4,weight_decay,4,2,44,normal,40.000000,mnist-checkpoints/fc3_h4_L[4]_strict_seed44_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,4,40,normal,80.600000,mnist-checkpoints/fc3_h4_L[4]_strict_seed40_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,4,41,normal,63.480000,mnist-checkpoints/fc3_h4_L[4]_strict_seed41_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,4,42,normal,80.200000,mnist-checkpoints/fc3_h4_L[4]_strict_seed42_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,4,43,normal,77.870000,mnist-checkpoints/fc3_h4_L[4]_strict_seed43_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,4,44,normal,53.120000,mnist-checkpoints/fc3_h4_L[4]_strict_seed44_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,8,40,normal,81.100000,mnist-checkpoints/fc3_h4_L[4]_strict_seed40_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,8,41,normal,64.620000,mnist-checkpoints/fc3_h4_L[4]_strict_seed41_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,8,42,normal,82.010000,mnist-checkpoints/fc3_h4_L[4]_strict_seed42_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,8,43,normal,81.770000,mnist-checkpoints/fc3_h4_L[4]_strict_seed43_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,8,44,normal,55.590000,mnist-checkpoints/fc3_h4_L[4]_strict_seed44_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,16,40,normal,81.730000,mnist-checkpoints/fc3_h4_L[4]_strict_seed40_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,16,41,normal,65.160000,mnist-checkpoints/fc3_h4_L[4]_strict_seed41_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,16,42,normal,82.320000,mnist-checkpoints/fc3_h4_L[4]_strict_seed42_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,16,43,normal,82.530000,mnist-checkpoints/fc3_h4_L[4]_strict_seed43_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,16,44,normal,55.840000,mnist-checkpoints/fc3_h4_L[4]_strict_seed44_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,32,40,normal,81.590000,mnist-checkpoints/fc3_h4_L[4]_strict_seed40_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,32,41,normal,65.250000,mnist-checkpoints/fc3_h4_L[4]_strict_seed41_ablation_wd_l4_fc3_h4.pth
fc3_h4,4,weight_decay,4,32,42,normal,82.310000,mnist-checkpoints/fc3_h4_L[4]_strict_seed42_ablation_wd_l4_fc3_h4.pth
