arch,hidden_size,regularizer,L,T,if_mode,acc_mean,acc_std,n_seeds
fc3_h128,128,weight_decay,2,2,normal,95.440000,2.168905,5
fc3_h128,128,weight_decay,2,4,normal,96.084000,1.785450,5
fc3_h128,128,weight_decay,2,8,normal,96.562000,1.288670,5
fc3_h128,128,weight_decay,2,16,normal,96.532000,1.266973,5
fc3_h128,128,weight_decay,2,32,normal,96.576000,1.257867,5
fc3_h128,128,weight_decay,4,2,normal,95.596000,0.885850,5
fc3_h128,128,weight_decay,4,4,normal,96.392000,1.062977,5
fc3_h128,128,weight_decay,4,8,normal,96.450000,1.040481,5
fc3_h128,128,weight_decay,4,16,normal,96.496000,1.068728,5
fc3_h128,128,weight_decay,4,32,normal,96.536000,1.097670,5
fc3_h128,128,weight_decay,8,2,normal,95.682000,0.578161,5
fc3_h128,128,weight_decay,8,4,normal,96.742000,0.853329,5
fc3_h128,128,weight_decay,8,8,normal,96.968000,0.943886,5
fc3_h128,128,weight_decay,8,16,normal,97.048000,0.902037,5
fc3_h128,128,weight_decay,8,32,normal,97.054000,0.931520,5
fc3_h128,128,weight_decay,16,2,normal,96.108000,0.157385,5
fc3_h128,128,weight_decay,16,4,normal,97.468000,0.120706,5
fc3_h128,128,weight_decay,16,8,normal,97.718000,0.160375,5
fc3_h128,128,weight_decay,16,16,normal,97.796000,0.130307,5
fc3_h128,128,weight_decay,16,32,normal,97.778000,0.125976,5
fc3_h128,128,weight_decay,32,2,normal,95.532000,0.797352,5
fc3_h128,128,weight_decay,32,4,normal,96.542000,1.080241,5
fc3_h128,128,weight_decay,32,8,normal,96.798000,1.051604,5
fc3_h128,128,weight_decay,32,16,normal,96.814000,1.086384,5
fc3_h128,128,weight_decay,32,32,normal,96.842000,1.105428,5
fc3_h16,16,weight_decay,2,2,normal,94.318000,0.392518,5
fc3_h16,16,weight_decay,2,4,normal,95.098000,0.530396,5
fc3_h16,16,weight_decay,2,8,normal,95.342000,0.471243,5
fc3_h16,16,weight_decay,2,16,normal,95.342000,0.537420,5
fc3_h16,16,weight_decay,2,32,normal,95.336000,0.488702,5
fc3_h16,16,weight_decay,4,2,normal,91.496000,3.042578,5
fc3_h16,16,weight_decay,4,4,normal,94.276000,1.863674,5
fc3_h16,16,weight_decay,4,8,normal,94.840000,1.582324,5
fc3_h16,16,weight_decay,4,16,normal,94.916000,1.643953,5
fc3_h16,16,weight_decay,4,32,normal,94.918000,1.606524,5
fc3_h16,16,weight_decay,8,2,normal,87.344000,2.947513,5
fc3_h16,16,weight_decay,8,4,normal,92.906000,1.523706,5
fc3_h16,16,weight_decay,8,8,normal,94.040000,1.296823,5
fc3_h16,16,weight_decay,8,16,normal,94.320000,1.096380,5
fc3_h16,16,weight_decay,8,32,normal,94.340000,1.117206,5
fc3_h16,16,weight_decay,16,2,normal,82.568000,5.551488,5
fc3_h16,16,weight_decay,16,4,normal,91.748000,1.894484,5
fc3_h16,16,weight_decay,16,8,normal,93.562000,1.410096,5
fc3_h16,16,weight_decay,16,16,normal,93.876000,1.353229,5
fc3_h16,16,weight_decay,16,32,normal,93.912000,1.340362,5
