model,method,method_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
cnn2,orthogonal,orthogonal_rc0p0001,orthogonal,0p0001,0,3,82.593333,0.877857
cnn2,orthogonal,orthogonal_rc0p0001,orthogonal,0p0001,1,3,55.273333,5.630385
cnn2_c4_c8,orthogonal,orthogonal_rc0p0001,orthogonal,0p0001,0,3,85.586667,0.673523
cnn2_c4_c8,orthogonal,orthogonal_rc0p0001,orthogonal,0p0001,1,3,59.850000,4.323933
fc3_h256,orthogonal,orthogonal_rc0p0001,orthogonal,0p0001,0,3,87.023333,0.116762
fc3_h256,orthogonal,orthogonal_rc0p0001,orthogonal,0p0001,1,3,83.720000,0.055678
fc3_h8,orthogonal,orthogonal_rc0p0001,orthogonal,0p0001,0,3,80.606667,0.420278
fc3_h8,orthogonal,orthogonal_rc0p0001,orthogonal,0p0001,1,3,76.550000,0.516430
