method,label,sigma,acc_mean,acc_std,n_seeds
mne_l2,mne_l2 rc=1e-4,0.00,90.378000,0.144983,5
mne_l2,mne_l2 rc=1e-4,0.05,90.346000,0.164104,5
mne_l2,mne_l2 rc=1e-4,0.10,90.356000,0.151756,5
mne_l2,mne_l2 rc=1e-4,0.15,90.316000,0.170088,5
mne_l2,mne_l2 rc=1e-4,0.20,90.338000,0.206083,5
mne_l2,mne_l2 rc=1e-4,0.25,90.340000,0.173205,5
mne_l2,mne_l2 rc=1e-4,0.30,90.352000,0.162696,5
mne_l2,mne_l2 rc=1e-4,0.35,90.360000,0.111131,5
mne_l2,mne_l2 rc=1e-4,0.40,90.332000,0.145499,5
mne_l2,mne_l2 rc=1e-4,0.45,90.318000,0.137913,5
mne_l2,mne_l2 rc=1e-4,0.50,90.332000,0.186467,5
mne_l2,mne_l2 rc=1e-4,0.55,90.302000,0.137550,5
mne_l2,mne_l2 rc=1e-4,0.60,90.248000,0.180748,5
mne_l2,mne_l2 rc=1e-4,0.65,90.292000,0.133116,5
mne_l2,mne_l2 rc=1e-4,0.70,90.256000,0.109681,5
mne_l2,mne_l2 rc=1e-4,0.75,90.238000,0.143422,5
mne_l2,mne_l2 rc=1e-4,0.80,90.202000,0.185661,5
mne_l2,mne_l2 rc=1e-4,0.85,90.214000,0.181328,5
mne_l2,mne_l2 rc=1e-4,0.90,90.184000,0.174728,5
mne_l2,mne_l2 rc=1e-4,0.95,90.194000,0.116103,5
mne_l2,mne_l2 rc=1e-4,1.00,90.156000,0.215708,5
weight_decay,weight_decay,0.00,90.594000,0.132401,5
weight_decay,weight_decay,0.05,90.578000,0.117346,5
weight_decay,weight_decay,0.10,90.510000,0.143527,5
weight_decay,weight_decay,0.15,90.504000,0.163187,5
weight_decay,weight_decay,0.20,90.426000,0.142232,5
weight_decay,weight_decay,0.25,90.244000,0.152414,5
weight_decay,weight_decay,0.30,90.156000,0.260058,5
weight_decay,weight_decay,0.35,90.014000,0.224455,5
weight_decay,weight_decay,0.40,89.766000,0.173580,5
weight_decay,weight_decay,0.45,89.448000,0.320031,5
weight_decay,weight_decay,0.50,89.130000,0.221020,5
weight_decay,weight_decay,0.55,88.814000,0.291342,5
weight_decay,weight_decay,0.60,88.332000,0.334769,5
weight_decay,weight_decay,0.65,87.842000,0.354217,5
weight_decay,weight_decay,0.70,87.290000,0.350214,5
weight_decay,weight_decay,0.75,86.726000,0.461606,5
weight_decay,weight_decay,0.80,86.016000,0.566948,5
weight_decay,weight_decay,0.85,85.568000,0.478508,5
weight_decay,weight_decay,0.90,84.852000,0.562468,5
weight_decay,weight_decay,0.95,83.998000,0.610672,5
weight_decay,weight_decay,1.00,83.216000,0.666543,5
l1,l1 rc=1e-5,0.00,89.874000,0.199700,5
l1,l1 rc=1e-5,0.05,89.848000,0.214872,5
l1,l1 rc=1e-5,0.10,89.844000,0.185553,5
l1,l1 rc=1e-5,0.15,89.802000,0.182948,5
l1,l1 rc=1e-5,0.20,89.812000,0.225544,5
l1,l1 rc=1e-5,0.25,89.804000,0.201693,5
l1,l1 rc=1e-5,0.30,89.758000,0.208734,5
l1,l1 rc=1e-5,0.35,89.722000,0.221179,5
l1,l1 rc=1e-5,0.40,89.732000,0.188865,5
l1,l1 rc=1e-5,0.45,89.732000,0.199048,5
l1,l1 rc=1e-5,0.50,89.670000,0.215986,5
l1,l1 rc=1e-5,0.55,89.650000,0.168967,5
l1,l1 rc=1e-5,0.60,89.592000,0.268552,5
l1,l1 rc=1e-5,0.65,89.612000,0.218792,5
l1,l1 rc=1e-5,0.70,89.490000,0.210832,5
l1,l1 rc=1e-5,0.75,89.508000,0.180194,5
l1,l1 rc=1e-5,0.80,89.426000,0.218472,5
l1,l1 rc=1e-5,0.85,89.378000,0.223763,5
l1,l1 rc=1e-5,0.90,89.340000,0.268421,5
l1,l1 rc=1e-5,0.95,89.308000,0.238998,5
l1,l1 rc=1e-5,1.00,89.184000,0.292968,5
