method,DRS_mean,DRS_std,DRS_sem,AUC_RS_mean,AUC_RS_std,n_seeds
weight_decay,0.483671,0.046573,0.020828,0.814650,0.027532,5
mne_l2,0.999942,0.000029,0.000013,0.998852,0.000365,5
no_regularization,0.999877,0.000072,0.000032,0.999638,0.000749,5
