dataset,method,seed,corruption,severity,accuracy,n_samples
cifar10,l2wo,42,clean,0,91.170000,10000
cifar10,l2wo,42,gaussian_noise,1,80.870000,10000
cifar10,l2wo,42,gaussian_noise,2,67.610000,10000
cifar10,l2wo,42,gaussian_noise,3,54.050000,10000
cifar10,l2wo,42,gaussian_noise,4,47.000000,10000
cifar10,l2wo,42,gaussian_noise,5,40.300000,10000
cifar10,l2wo,42,shot_noise,1,84.960000,10000
cifar10,l2wo,42,shot_noise,2,78.710000,10000
cifar10,l2wo,42,shot_noise,3,64.470000,10000
cifar10,l2wo,42,shot_noise,4,58.190000,10000
cifar10,l2wo,42,shot_noise,5,47.190000,10000
cifar10,l2wo,42,impulse_noise,1,89.400000,10000
cifar10,l2wo,42,impulse_noise,2,86.810000,10000
cifar10,l2wo,42,impulse_noise,3,82.900000,10000
cifar10,l2wo,42,impulse_noise,4,69.110000,10000
cifar10,l2wo,42,impulse_noise,5,50.500000,10000
cifar10,l2wo,42,defocus_blur,1,90.700000,10000
cifar10,l2wo,42,defocus_blur,2,88.830000,10000
cifar10,l2wo,42,defocus_blur,3,84.930000,10000
cifar10,l2wo,42,defocus_blur,4,78.740000,10000
cifar10,l2wo,42,defocus_blur,5,61.890000,10000
cifar10,l2wo,42,glass_blur,1,55.630000,10000
cifar10,l2wo,42,glass_blur,2,59.830000,10000
cifar10,l2wo,42,glass_blur,3,65.320000,10000
cifar10,l2wo,42,glass_blur,4,42.980000,10000
cifar10,l2wo,42,glass_blur,5,48.350000,10000
cifar10,l2wo,42,motion_blur,1,85.370000,10000
cifar10,l2wo,42,motion_blur,2,77.370000,10000
cifar10,l2wo,42,motion_blur,3,69.440000,10000
cifar10,l2wo,42,motion_blur,4,69.300000,10000
cifar10,l2wo,42,motion_blur,5,61.500000,10000
cifar10,l2wo,42,zoom_blur,1,84.370000,10000
cifar10,l2wo,42,zoom_blur,2,82.380000,10000
cifar10,l2wo,42,zoom_blur,3,78.820000,10000
cifar10,l2wo,42,zoom_blur,4,74.620000,10000
cifar10,l2wo,42,zoom_blur,5,66.600000,10000
cifar10,l2wo,42,snow,1,88.590000,10000
cifar10,l2wo,42,snow,2,76.450000,10000
cifar10,l2wo,42,snow,3,80.610000,10000
cifar10,l2wo,42,snow,4,77.300000,10000
cifar10,l2wo,42,snow,5,70.750000,10000
cifar10,l2wo,42,frost,1,87.240000,10000
cifar10,l2wo,42,frost,2,82.120000,10000
cifar10,l2wo,42,frost,3,72.120000,10000
cifar10,l2wo,42,frost,4,69.880000,10000
cifar10,l2wo,42,frost,5,57.960000,10000
cifar10,l2wo,42,fog,1,90.810000,10000
cifar10,l2wo,42,fog,2,89.780000,10000
cifar10,l2wo,42,fog,3,87.730000,10000
cifar10,l2wo,42,fog,4,84.710000,10000
cifar10,l2wo,42,fog,5,73.590000,10000
cifar10,l2wo,42,brightness,1,90.890000,10000
cifar10,l2wo,42,brightness,2,90.730000,10000
cifar10,l2wo,42,brightness,3,90.310000,10000
cifar10,l2wo,42,brightness,4,89.750000,10000
cifar10,l2wo,42,brightness,5,88.750000,10000
cifar10,l2wo,42,contrast,1,90.340000,10000
cifar10,l2wo,42,contrast,2,87.710000,10000
cifar10,l2wo,42,contrast,3,85.810000,10000
cifar10,l2wo,42,contrast,4,81.980000,10000
cifar10,l2wo,42,contrast,5,59.330000,10000
cifar10,l2wo,42,elastic_transform,1,85.690000,10000
cifar10,l2wo,42,elastic_transform,2,86.180000,10000
cifar10,l2wo,42,elastic_transform,3,83.230000,10000
cifar10,l2wo,42,elastic_transform,4,80.190000,10000
cifar10,l2wo,42,elastic_transform,5,78.620000,10000
cifar10,l2wo,42,pixelate,1,89.140000,10000
cifar10,l2wo,42,pixelate,2,83.650000,10000
cifar10,l2wo,42,pixelate,3,78.220000,10000
cifar10,l2wo,42,pixelate,4,57.980000,10000
cifar10,l2wo,42,pixelate,5,35.040000,10000
cifar10,l2wo,42,jpeg_compression,1,87.840000,10000
cifar10,l2wo,42,jpeg_compression,2,85.370000,10000
cifar10,l2wo,42,jpeg_compression,3,84.200000,10000
cifar10,l2wo,42,jpeg_compression,4,83.080000,10000
cifar10,l2wo,42,jpeg_compression,5,81.090000,10000
