dataset,variant,variant_label,clean_acc_mean,end_sigma,end_acc_mean,absolute_drop
imagenet,weight_decay,L2-all (all params),56.978000,5,0.674000,56.304000
imagenet,weight_decay_weights_only,L2-wo (weights only),51.616000,5,1.166000,50.450000
imagenet,l1,"L1-wo (weights only, $10^{-5}$)",57.568000,5,0.342000,57.226000
imagenet,old_detach,Old MNE (detach $\lambda$),59.968000,5,0.860000,59.108000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),49.794000,5,0.708000,49.086000
