L,T,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,16,62.670000,62.060000,57.850000,39.660000,13.940000,4.410000,2.450000,2.010000,1.990000,1.660000,1.270000,1.120000,1.040000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
