model,ann_l2,ann_mne,ann_delta,snn_clean_l2,snn_clean_mne,snn_clean_delta,snn_sigma1_l2,snn_sigma1_mne,snn_sigma1_delta,drop_l2,drop_mne,mean_curve_delta
c2-c4,84.39,84.5,0.10999999999999943,82.19,82.78,0.5900000000000034,42.12,50.51,8.39,40.07,32.27,5.643636363636363
c4-c8,86.71,86.63,-0.0799999999999983,84.75,85.02,0.269999999999996,54.6,55.54,0.9399999999999977,30.15,29.479999999999997,0.46545454545454523
c8-c16,87.92,87.98,0.060000000000002274,86.6,86.93,0.3300000000000125,46.56,48.06,1.5,40.03999999999999,38.870000000000005,1.0500000000000016
c16-c32,89.04,88.99,-0.05000000000001137,88.33,88.39,0.060000000000002274,64.79,53.27,-11.520000000000003,23.539999999999992,35.12,-4.59181818181818
