regularizer,acc_sigma_0,acc_sigma_1,min_acc,sigma_at_min_acc,matrix_csv
mne_l2,80.190,79.130,79.130,1.0,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8/noise_sweep_sigma_0_1_T16_rate_uniform/mne_l2/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
weight_decay,82.010,71.570,71.570,1.0,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8/noise_sweep_sigma_0_1_T16_rate_uniform/weight_decay/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
no_regularization,70.580,32.560,32.560,1.0,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8/noise_sweep_sigma_0_1_T16_rate_uniform/no_regularization/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
