L,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1
2,97.260000,97.370000,97.280000,97.380000,97.430000,97.290000,97.200000,97.250000,97.150000,97.070000,97.200000,96.860000,97.020000,96.950000,96.760000,96.750000,96.740000,96.800000,96.740000,96.640000,96.690000,96.570000,96.560000,96.390000,96.580000,96.710000,96.400000,96.380000,96.370000,96.480000,96.490000,96.290000,96.470000,96.350000,96.130000,96.190000,96.170000,96.060000,96.040000,95.950000,95.860000,95.750000,95.860000,95.620000,95.630000,95.520000,95.360000,95.180000,95.090000,94.960000,95.050000
16,95.180000,95.320000,95.240000,95.340000,95.440000,95.080000,95.300000,95.050000,94.410000,94.110000,93.230000,92.610000,91.970000,90.990000,89.950000,89.560000,89.110000,87.800000,87.480000,86.840000,86.050000,85.210000,84.070000,83.300000,82.230000,82.080000,80.330000,80.380000,79.190000,78.120000,77.420000,76.810000,76.180000,75.120000,74.270000,74.510000,73.220000,72.350000,71.580000,71.280000,70.480000,70.270000,68.840000,68.550000,68.070000,67.110000,66.170000,65.750000,65.640000,64.700000,64.190000
32,98.950000,98.940000,98.930000,98.910000,98.950000,98.970000,98.890000,98.970000,98.950000,98.910000,98.960000,98.960000,98.910000,98.890000,98.950000,98.880000,98.970000,98.870000,98.900000,98.950000,98.830000,98.890000,98.900000,98.830000,98.780000,98.910000,98.740000,98.880000,98.820000,98.890000,98.820000,98.770000,98.730000,98.730000,98.620000,98.690000,98.710000,98.680000,98.730000,98.610000,98.710000,98.590000,98.590000,98.540000,98.470000,98.570000,98.320000,98.440000,98.500000,98.360000,98.410000
