L,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,85.020000,82.670000,77.950000,69.760000,55.030000,40.210000,27.730000,21.310000,16.810000,14.950000,13.780000,12.930000,12.490000
