L,T,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,16,16.040000,11.590000,8.690000,6.680000,5.370000,4.380000,3.590000,3.120000,2.880000,2.320000,2.210000,2.050000,1.710000,1.600000,1.460000,1.430000,1.440000
