dataset,arch,method,method_label,mode,T,n_seeds,ann_macs_per_sample,accuracy_mean,accuracy_std,if_firing_density_mean,if_firing_density_std,energy_mJ_mean,energy_mJ_std,ann_energy_mJ_mean,ann_energy_mJ_std,snn_energy_mJ_mean,snn_energy_mJ_std,snn_event_only_energy_mJ_mean,snn_event_only_energy_mJ_std,energy_ratio_ann_over_snn_mean,energy_ratio_ann_over_snn_std,event_synops_per_sample_mean,event_synops_per_sample_std
cifar10,vgg16,l2,L2,ANN,0,5,332111872.0,90.59400000000001,0.12441864811996767,0.26708947497470775,0.004188985165628178,1.5277146112,0.0,1.5277146112,0.0,0.07801464842715601,0.0005012566872151483,0.07140193802679601,0.0005012566872151516,1.0,0.0,79335486.69644001,556951.8746835012
cifar10,vgg16,l2,L2,SNN,4,5,332111872.0,90.292,0.22917242417010195,0.1045940456384892,0.0030268350880415496,0.142096769358624,0.001464477161021211,1.5277146112,0.0,0.142096769358624,0.001464477161021211,0.115645927758624,0.001464477161021217,10.752131948131703,0.10977072258393825,128495475.28736,1627196.8455791294
cifar10,vgg16,l2,L2,SNN,8,5,332111872.0,90.524,0.13501851724856484,0.10470619700040748,0.003034787545560973,0.287680125876192,0.0029886365098060396,1.5277146112,0.0,0.287680125876192,0.0029886365098060396,0.23477844267619202,0.0029886365098060388,5.310916745240385,0.05461914270897558,260864936.30688,3320707.233117816
cifar10,vgg16,l2,L2,SNN,16,5,332111872.0,90.59400000000001,0.13240090634131027,0.10473400542115137,0.0030356309796703922,0.5848294084738199,0.006049630158689056,1.5277146112,0.0,0.5848294084738199,0.006049630158689056,0.47902604207382005,0.00604963015868901,2.6124610004400557,0.0267398216294635,532251157.8598,6721811.287432224
cifar10,vgg16,l2_wo,L2-wo,ANN,0,5,332111872.0,91.108,0.07596051605933003,0.27052580717457286,0.002144921264708334,1.5277146112,0.0,1.5277146112,0.0,0.07709718470248801,0.0002960637034135767,0.07048447430212801,0.00029606370341358015,1.0,0.0,78316082.55792001,328959.6704595283
cifar10,vgg16,l2_wo,L2-wo,SNN,4,5,332111872.0,90.574,0.18270194306574955,0.10212262955260791,0.0011594642635489466,0.122737529010816,0.0008154516038771446,1.5277146112,0.0,0.122737529010816,0.0008154516038771446,0.096286687410816,0.0008154516038771456,12.447444555949051,0.0827405014296822,106985208.23424001,906057.3376412761
cifar10,vgg16,l2_wo,L2-wo,SNN,8,5,332111872.0,90.964,0.06268971207463025,0.10237605293109261,0.0011290100209716508,0.248265418046652,0.001606943404790363,1.5277146112,0.0,0.248265418046652,0.001606943404790363,0.195363734846652,0.0016069434047903703,6.153760238965051,0.03986425295036655,217070816.49628,1785492.6719892905
cifar10,vgg16,l2_wo,L2-wo,SNN,16,5,332111872.0,91.102,0.07395944834840208,0.10241601562060898,0.0011267035628709236,0.504980221765536,0.0032912054463705835,1.5277146112,0.0,0.504980221765536,0.0032912054463705835,0.39917685536553604,0.0032912054463705947,3.0253988433237637,0.01973753378946681,443529839.29503995,3656894.9404117605
cifar10,vgg16,l1,L1,ANN,0,5,332111872.0,89.88,0.19874606914351842,0.22543001180305752,0.0019462266647833444,1.5277146112,0.0,1.5277146112,0.0,0.05947689929711401,0.0007285561456984799,0.052864188896754004,0.0007285561456984813,1.0,0.0,58737987.663059995,809506.8285538666
cifar10,vgg16,l1,L1,SNN,4,5,332111872.0,89.092,0.24661711213944787,0.07656344178563398,0.0013262778559769005,0.09748997544778201,0.0010411729575488709,1.5277146112,0.0,0.09748997544778201,0.0010411729575488709,0.071039133847782,0.0010411729575488648,15.671893001565895,0.16550496114258575,78932370.94198,1156858.8417209645
cifar10,vgg16,l1,L1,SNN,8,5,332111872.0,89.704,0.30286960890786335,0.07662431890034846,0.0013503099896097377,0.196914790118268,0.0021615912678801565,1.5277146112,0.0,0.196914790118268,0.0021615912678801565,0.14401310691826802,0.0021615912678801625,7.758993441414741,0.08440451925998609,160014563.24252,2401768.0754223997
cifar10,vgg16,l1,L1,SNN,16,5,332111872.0,89.874,0.19969977466186434,0.07679087531878795,0.0013839751556083777,0.401943602685024,0.0046379359684927965,1.5277146112,0.0,0.401943602685024,0.0046379359684927965,0.296140236285024,0.004637935968492817,3.8012200256725555,0.04351790137676502,329044706.98336,5153262.187214255
cifar10,vgg16,mne_l2,MNE-L2,ANN,0,5,332111872.0,90.378,0.1468672870315241,0.2664583593047437,0.0022312801399764085,1.5277146112,0.0,1.5277146112,0.0,0.07615247440658401,0.00029278193630597995,0.069539764006224,0.00029278193630597935,1.0,0.0,77266404.45136,325313.2625621987
cifar10,vgg16,mne_l2,MNE-L2,SNN,4,5,332111872.0,89.934,0.1628803241647089,0.08266138738618481,0.0013149947943976966,0.11413390786581601,0.0005470031030975895,1.5277146112,0.0,0.11413390786581601,0.0005470031030975895,0.08768306626581601,0.0005470031030975919,13.385527373272193,0.06384074879571057,97425629.18424,607781.2256639925
cifar10,vgg16,mne_l2,MNE-L2,SNN,8,5,332111872.0,90.31,0.17073371078964306,0.08291196264472797,0.00133125877370782,0.23121563438664,0.0012162775007707515,1.5277146112,0.0,0.23121563438664,0.0012162775007707515,0.17831395118664,0.0012162775007707456,6.607461012372025,0.034612457514250926,198126612.4296,1351419.44530083
cifar10,vgg16,mne_l2,MNE-L2,SNN,16,5,332111872.0,90.378,0.14498275759551624,0.08294631562377051,0.00133830891398934,0.47155290025644003,0.002645647335501664,1.5277146112,0.0,0.47155290025644003,0.002645647335501664,0.36574953385644005,0.0026456473355016756,3.2398335679136308,0.018097828301637604,406388370.9516,2939608.150557416
cifar100,vgg16,l2,L2,ANN,0,5,332480512.0,62.266,0.3776638717166365,0.275340812443795,0.004999065748153156,1.5294103551999998,0.0,1.5294103551999998,0.0,0.07796709540064801,0.0009626402272032214,0.07135438500028801,0.0009626402272032202,1.0,0.0,79282650.00032,1069600.2524480217
cifar100,vgg16,l2,L2,SNN,4,5,332480512.0,61.83,0.4658862522118449,0.1058123755936657,0.003103751861792193,0.13540231068487202,0.0019578117242847345,1.5294103551999998,0.0,0.13540231068487202,0.0019578117242847345,0.10895146908487201,0.001957811724284732,11.297198673998272,0.16374317253515544,121057187.87208,2175346.360316368
cifar100,vgg16,l2,L2,SNN,8,5,332480512.0,62.218,0.48782168873472764,0.10585521228817726,0.0031268286743675318,0.27417949831411204,0.003915966366140642,1.5294103551999998,0.0,0.27417949831411204,0.003915966366140642,0.22127781511411201,0.003915966366140636,5.579047238767396,0.07981089009004214,245864239.01568,4351073.74015626
cifar100,vgg16,l2,L2,SNN,16,5,332480512.0,62.272000000000006,0.37298793546172493,0.10587384142539484,0.003124978701497173,0.557735558637672,0.007835631640851454,1.5294103551999998,0.0,0.557735558637672,0.007835631640851454,0.45193219223767206,0.007835631640851463,2.7426119781506078,0.038586456712171445,502146880.2640799,8706257.378723849
cifar100,vgg16,l2_wo,L2-wo,ANN,0,5,332480512.0,63.839999999999996,0.2726719640887207,0.2816316489854991,0.0010404648440812338,1.5294103551999998,0.0,1.5294103551999998,0.0,0.07734364553980802,9.726298200715603e-05,0.070730935139448,9.726298200716069e-05,1.0,0.0,78589927.93272,108069.98000795335
cifar100,vgg16,l2_wo,L2-wo,SNN,4,5,332480512.0,62.682,0.5420977771583271,0.10487843331975044,0.0007928421970140499,0.12712861454882401,0.0004566104373839729,1.5294103551999998,0.0,0.12712861454882401,0.0004566104373839729,0.100677772948824,0.0004566104373839624,12.030542187021249,0.04326812688371808,111864192.16536,507344.93042662885
cifar100,vgg16,l2_wo,L2-wo,SNN,8,5,332480512.0,63.57000000000001,0.30732718721258756,0.10496968472487636,0.0008110171982526256,0.256887017107848,0.0009987330765168787,1.5294103551999998,0.0,0.256887017107848,0.0009987330765168787,0.20398533390784804,0.000998733076516864,5.953702446924117,0.023163348841567726,226650371.00872,1109703.4183520714
cifar100,vgg16,l2_wo,L2-wo,SNN,16,5,332480512.0,63.826,0.2640643860879394,0.10498150770008992,0.0008207688725562202,0.5224572761605201,0.002112208429088571,1.5294103551999998,0.0,0.5224572761605201,0.002112208429088571,0.4166539097605201,0.0021122084290885455,2.9273788251429425,0.011843143330462165,462948788.6228,2346898.2545428197
cifar100,vgg16,l1,L1,ANN,0,5,332480512.0,53.15,0.7280109889280533,0.2356784936347797,0.0025463082325446595,1.5294103551999998,0.0,1.5294103551999998,0.0,0.061766944362036,0.0006921838296557677,0.055154233961676,0.0006921838296557656,1.0,0.0,61282482.179639995,769093.1440619645
cifar100,vgg16,l1,L1,SNN,4,5,332480512.0,52.366,0.945795961082516,0.08416122223119941,0.0020734987400380426,0.10431707491526401,0.001136532368810858,1.5294103551999998,0.0,0.10431707491526401,0.001136532368810858,0.07786623331526402,0.001136532368810858,14.662547240528259,0.15803225926355507,86518037.01696,1262813.7431231707
cifar100,vgg16,l1,L1,SNN,8,5,332480512.0,52.888,0.7138066965222453,0.08422727215005339,0.0021526956484300076,0.210873952415448,0.0025242496072925293,1.5294103551999998,0.0,0.210873952415448,0.0025242496072925293,0.15797226921544802,0.002524249607292527,7.253545435052935,0.08588901443762306,175524743.57272,2804721.7858805875
cifar100,vgg16,l1,L1,SNN,16,5,332480512.0,53.134,0.7324820816921049,0.08430628583949247,0.002172159439654433,0.429419853406368,0.005193743292829233,1.5294103551999998,0.0,0.429419853406368,0.005193743292829233,0.3236164870063681,0.00519374329282927,3.5619858049804494,0.04261667282826148,359573874.45152,5770825.880921388
cifar100,vgg16,mne_l2,MNE-L2,ANN,0,5,332480512.0,59.634,0.22187834504520793,0.2763647779198516,0.004826036251395442,1.5294103551999998,0.0,1.5294103551999998,0.0,0.07476682594863601,0.0006862127874812235,0.06815411554827601,0.0006862127874812242,1.0,0.0,75726795.05364,762458.6527569162
cifar100,vgg16,mne_l2,MNE-L2,SNN,4,5,332480512.0,59.238,0.21288494545176317,0.08935932868353755,0.0009848481519956376,0.11972581242314399,0.0009134978586136908,1.5294103551999998,0.0,0.11972581242314399,0.0009134978586136908,0.09327497082314401,0.0009134978586136908,12.774870105558525,0.09762932252129337,103638856.47016001,1014997.6206818763
cifar100,vgg16,mne_l2,MNE-L2,SNN,8,5,332480512.0,59.622,0.30507376157250754,0.0896386719716024,0.0010427102547859168,0.24242690965406402,0.0018533173546773278,1.5294103551999998,0.0,0.24242690965406402,0.0018533173546773278,0.18952522645406403,0.0018533173546773243,6.309043746032256,0.04830774255885568,210583584.94896,2059241.5051970254
cifar100,vgg16,mne_l2,MNE-L2,SNN,16,5,332480512.0,59.620000000000005,0.224610774452161,0.08969920644197532,0.0010395962250170628,0.494203645407024,0.003749148272452147,1.5294103551999998,0.0,0.494203645407024,0.003749148272452147,0.388400279007024,0.0037491482724521597,3.094839312003502,0.023510500389326568,431555865.56336004,4165720.3027246273
