dataset,arch,method,method_label,seed,L,T,n_samples,mode,accuracy,if_firing_density,ann_macs_per_sample,snn_first_macs_per_sample,snn_rest_acs_per_sample,event_synops_per_sample,ann_energy_mJ,snn_energy_mJ,snn_event_only_energy_mJ,energy_mJ,energy_ratio_ann_over_snn,checkpoint
cifar10,vgg16,l2,L2,43,16,4,10000,SNN,90.35,0.10361862327520796,332111872.0,7077888.0,121376745.1554,128162793.1554,1.5277146112,0.14179735543986,0.11534651383986,0.14179735543986,10.773928797620941,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed43_L16.pth
cifar10,vgg16,l2,L2,43,16,8,10000,SNN,90.62,0.10373953163640962,332111872.0,14155776.0,246506494.1556,260078590.1556,1.5277146112,0.28697241434004,0.23407073114004,0.28697241434004,5.323559111816849,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed43_L16.pth
cifar10,vgg16,l2,L2,43,16,16,10000,SNN,90.59,0.10376633955042996,332111872.0,28311552.0,503346411.5148,530490603.5148,1.5277146112,0.58324490956332,0.47744154316332005,0.58324490956332,2.619336381939127,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed43_L16.pth
cifar10,vgg16,l2,L2,44,16,0,10000,ANN,90.64,0.26403681710881294,332111872.0,1769472.0,77210849.0764,78907361.076,1.5277146112,0.07762933536876002,0.0710166249684,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2,L2,44,16,4,10000,SNN,90.11,0.10386492551076326,332111872.0,7077888.0,121820658.1518,128606706.1518,1.5277146112,0.14219687713662,0.11574603553662001,0.14219687713662,10.743657961856655,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2,L2,44,16,8,10000,SNN,90.39,0.10397685134119267,332111872.0,14155776.0,247415974.9792,260988070.9792,1.5277146112,0.28779094708128,0.23488926388128,0.28779094708128,5.308417886989794,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2,L2,44,16,16,10000,SNN,90.64,0.10401214057318599,332111872.0,28311552.0,505142291.8926,532286483.8926,1.5277146112,0.58486120190334,0.47905783550334,0.58486120190334,2.6120977186181777,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,0,10000,ANN,91.12,0.2724894352096448,332111872.0,1769472.0,76911972.3036,78608484.3032,1.5277146112,0.07736034627324001,0.07074763587288002,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,4,10000,SNN,90.67,0.10321189913303733,332111872.0,7077888.0,100989053.0092,107775101.0092,1.5277146112,0.12344843250828001,0.09699759090828002,0.12344843250828001,12.375326119248474,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,8,10000,SNN,90.94,0.1034242241070425,332111872.0,14155776.0,205012021.631,218584117.631,1.5277146112,0.24962738906790002,0.19672570586790003,0.24962738906790002,6.119979930505355,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,16,10000,SNN,91.11,0.10345668359111539,332111872.0,28311552.0,419641520.0832,446785712.0832,1.5277146112,0.5079105072748801,0.40210714087488003,0.5079105072748801,3.00784210863589,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,0,10000,ANN,91.11,0.27278310090209085,332111872.0,1769472.0,76995974.1472,78692486.1468,1.5277146112,0.07743594793248001,0.07082323753212001,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,4,10000,SNN,90.62,0.10336931099651529,332111872.0,7077888.0,101219542.2154,108005590.2154,1.5277146112,0.12365587279385999,0.09720503119386,0.12365587279385999,12.35456575319128,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,8,10000,SNN,90.96,0.10358106522594425,332111872.0,14155776.0,205507158.8382,219079254.8382,1.5277146112,0.25007301255438,0.19717132935438003,0.25007301255438,6.109074288325248,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,16,10000,SNN,91.1,0.10362155583882503,332111872.0,28311552.0,420345954.1008,447490146.1008,1.5277146112,0.50854449789072,0.40274113149072,0.50854449789072,3.004092301728702,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,42,16,0,10000,ANN,91.17,0.26818401458520685,332111872.0,1769472.0,76335111.3478,78031623.3474,1.5277146112,0.07684117141302,0.07022846101266,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,42,16,4,10000,SNN,90.76,0.10079602858728642,332111872.0,7077888.0,99004951.543,105790999.543,1.5277146112,0.1216627411887,0.09521189958870001,0.1216627411887,12.556963588634757,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,42,16,8,10000,SNN,90.99,0.10106377620559802,332111872.0,14155776.0,201088208.801,214660304.801,1.5277146112,0.24609595752090002,0.1931942743209,0.24609595752090002,6.207800512408892,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,42,16,16,10000,SNN,91.17,0.10110317661642171,332111872.0,28311552.0,411421503.7022,438565695.7022,1.5277146112,0.50051249253198,0.39470912613198,0.50051249253198,3.052300659812976,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,0,10000,ANN,90.98,0.27063552404170416,332111872.0,1769472.0,76586930.2564,78283442.256,1.5277146112,0.07706780843076001,0.0704550980304,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,4,10000,SNN,90.28,0.10204658185560926,332111872.0,7077888.0,99928184.7016,106714232.7016,1.5277146112,0.12249365103144001,0.09604280943144,0.12249365103144001,12.471786074919809,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,8,10000,SNN,90.88,0.10234332898915242,332111872.0,14155776.0,202938046.7066,216510142.7066,1.5277146112,0.24776081163594002,0.19485912843594003,0.24776081163594002,6.166086561924996,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,43,16,16,10000,SNN,90.98,0.10238659031271077,332111872.0,28311552.0,415140822.4618,442285014.4618,1.5277146112,0.50385987941562,0.39805651301562,0.50385987941562,3.0320227380911002,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,44,16,0,10000,ANN,91.16,0.2685369611342176,332111872.0,1769472.0,76267864.7366,77964376.7362,1.5277146112,0.07678064946294001,0.07016793906258001,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,44,16,4,10000,SNN,90.54,0.10118932719059127,332111872.0,7077888.0,99854069.702,106640117.702,1.5277146112,0.12242694753180001,0.09597610593180002,0.12242694753180001,12.47858124375094,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,44,16,8,10000,SNN,91.05,0.10146787012772594,332111872.0,14155776.0,202948166.5046,216520262.5046,1.5277146112,0.24776991945413998,0.19486823625414001,0.24776991945413998,6.1658599016607685,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,44,16,16,10000,SNN,91.15,0.101512071743972,332111872.0,28311552.0,415378436.1272,442522628.1272,1.5277146112,0.50407373171448,0.39827036531448,0.50407373171448,3.0307364083501493,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l1,L1,40,16,0,10000,ANN,90.08,0.22446986145458633,332111872.0,1769472.0,56566486.0422,58262998.0418,1.5277146112,0.05904940863798,0.052436698237620004,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,40,16,4,10000,SNN,89.31,0.07624999148142424,332111872.0,7077888.0,71871183.5834,78657231.5834,1.5277146112,0.09724235002506,0.07079150842506,0.09724235002506,15.710383498612464,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,40,16,8,10000,SNN,89.84,0.07639099538240501,332111872.0,14155776.0,146306776.8134,159878872.8134,1.5277146112,0.19679266873206003,0.14389098553206,0.19679266873206003,7.763066688627694,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,40,16,16,10000,SNN,90.07,0.07653170271400067,332111872.0,28311552.0,301521209.8994,328665401.8994,1.5277146112,0.40160222810946,0.29579886170946,0.40160222810946,3.80404914183795,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,41,16,0,10000,ANN,89.69,0.22803995264725718,332111872.0,1769472.0,57536334.1523,59232846.1519,1.5277146112,0.059922271937070004,0.05330956153671001,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,41,16,4,10000,SNN,88.97,0.07724228348766299,332111872.0,7077888.0,72090121.7826,78876169.7826,1.5277146112,0.09743939440434,0.07098855280434001,0.09743939440434,15.678613568353159,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_l1_l16_vgg16_rc1em05.pth
cifar10,vgg16,l1,L1,41,16,8,10000,SNN,89.38,0.0773469619860752,332111872.0,14155776.0,146511889.3662,160083985.3662,1.5277146112,0.19697727002958001,0.14407558682958002,0.19697727002958001,7.755791371108877,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_l1_l16_vgg16_rc1em05.pth
