dataset,arch,method,method_label,seed,L,T,n_samples,mode,accuracy,if_firing_density,ann_macs_per_sample,snn_first_macs_per_sample,snn_rest_acs_per_sample,event_synops_per_sample,ann_energy_mJ,snn_energy_mJ,snn_event_only_energy_mJ,energy_mJ,energy_ratio_ann_over_snn,checkpoint
cifar10,vgg16,mne_l2,MNE-L2,42,16,0,10000,ANN,90.51,0.2667926002557329,332111872.0,1769472.0,75751430.5894,77447942.589,1.5277146112,0.07631585873046001,0.06970314833010001,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed42_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,42,16,4,10000,SNN,89.8,0.08203888044837568,332111872.0,7077888.0,90220060.7102,97006108.7102,1.5277146112,0.11375633943918001,0.08730549783918,0.11375633943918001,13.429709664812085,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed42_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,42,16,8,10000,SNN,90.34,0.08225952679750731,332111872.0,14155776.0,183518157.4968,197090253.4968,1.5277146112,0.23028291134712003,0.17738122814712,0.23028291134712003,6.6340771977525455,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed42_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,42,16,16,10000,SNN,90.5,0.08229847137670723,332111872.0,28311552.0,377083373.2406,404227565.2406,1.5277146112,0.46960817511654,0.36380480871654003,0.46960817511654,3.25316868860061,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed42_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,43,16,0,10000,ANN,90.23,0.2666423006126349,332111872.0,1769472.0,75908941.0978,77605453.0974,1.5277146112,0.07645761818802001,0.06984490778766,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed43_L16.pth
cifar10,vgg16,mne_l2,MNE-L2,43,16,4,10000,SNN,89.75,0.08253954226267424,332111872.0,7077888.0,90668520.063,97454568.063,1.5277146112,0.1141599528567,0.0877091112567,0.1141599528567,13.38222881992316,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed43_L16.pth
cifar10,vgg16,mne_l2,MNE-L2,43,16,8,10000,SNN,90.07,0.08284047184127698,332111872.0,14155776.0,184849999.572,198422095.572,1.5277146112,0.2314815692148,0.17857988601480002,0.2314815692148,6.599724619035993,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed43_L16.pth
cifar10,vgg16,mne_l2,MNE-L2,43,16,16,10000,SNN,90.22,0.08287584406351872,332111872.0,28311552.0,380012489.5102,407156681.5102,1.5277146112,0.47224437975918004,0.36644101335918006,0.47224437975918004,3.2350085605657277,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed43_L16.pth
cifar10,vgg16,mne_l2,MNE-L2,44,16,0,10000,ANN,90.29,0.2630033470098921,332111872.0,1769472.0,75051672.2,76748184.1996,1.5277146112,0.07568607618,0.06907336577964,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed44_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,44,16,4,10000,SNN,89.95,0.0813129650088523,332111872.0,7077888.0,90183815.0566,96969863.0566,1.5277146112,0.11372371835094001,0.08727287675094002,0.11372371835094001,13.433561910855092,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed44_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,44,16,8,10000,SNN,90.35,0.08151556207670582,332111872.0,14155776.0,183431279.0668,197003375.0668,1.5277146112,0.23020472076012002,0.17730303756012003,0.23020472076012002,6.636330506844483,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed44_L16_trainT0.pth
cifar10,vgg16,mne_l2,MNE-L2,44,16,16,10000,SNN,90.29,0.0815407801566364,332111872.0,28311552.0,376739763.7972,403883955.7972,1.5277146112,0.46929892661748007,0.36349556021748003,0.46929892661748007,3.2553123916373705,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_old_detach_rc0p0001_seed44_L16_trainT0.pth
cifar100,vgg16,l2,L2,40,16,0,10000,ANN,62.68,0.2811561583155351,332480512.0,1769472.0,78889117.0622,80585629.0618,1.5294103551999998,0.07913977655598001,0.07252706615562002,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar100,vgg16,l2,L2,40,16,4,10000,SNN,62.11,0.1074381302867862,332480512.0,7077888.0,115901531.4684,122687579.4684,1.5294103551999998,0.13686966312156001,0.11041882152156,0.13686966312156001,11.174209976988566,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar100,vgg16,l2,L2,40,16,8,10000,SNN,62.68,0.10753366216206722,332480512.0,14155776.0,235493439.7952,249065535.7952,1.5294103551999998,0.27706066541568003,0.22415898221568,0.27706066541568003,5.520128066195873,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar100,vgg16,l2,L2,40,16,16,10000,SNN,62.67,0.10754357637913108,332480512.0,28311552.0,481317253.1968,508461445.1968,1.5294103551999998,0.5634186670771201,0.4576153006771201,0.5634186670771201,2.7145184293133404,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar100,vgg16,l2,L2,41,16,0,10000,ANN,62.55,0.27874360316434355,332480512.0,1769472.0,78233420.348,79929932.3476,1.5294103551999998,0.07854964951320002,0.07193693911284,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar100,vgg16,l2,L2,41,16,4,10000,SNN,62.26,0.1098171083738478,332480512.0,7077888.0,116762367.6708,123548415.6708,1.5294103551999998,0.13764441570372002,0.11119357410372002,0.13764441570372002,11.111314232261044,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar100,vgg16,l2,L2,41,16,8,10000,SNN,62.63,0.10988354395585094,332480512.0,14155776.0,237377282.2316,250949378.2316,1.5294103551999998,0.27875612360844,0.22585444040844002,0.27875612360844,5.486553390835334,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar100,vgg16,l2,L2,41,16,16,10000,SNN,62.57,0.10990202417167828,332480512.0,28311552.0,485251142.6216,512395334.6216,1.5294103551999998,0.56695916755944,0.46115580115944,0.56695916755944,2.697567025476586,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar100,vgg16,l2,L2,42,16,0,10000,ANN,62.28,0.2763189681457959,332480512.0,1769472.0,77604250.0016,79300762.0012,1.5294103551999998,0.07798339620144001,0.07137068580108001,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar100,vgg16,l2,L2,42,16,4,10000,SNN,62.11,0.1062679443359375,332480512.0,7077888.0,114357600.1388,121143648.1388,1.5294103551999998,0.13548012492492,0.10902928332492001,0.13548012492492,11.288817131277108,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar100,vgg16,l2,L2,42,16,8,10000,SNN,62.34,0.10630120406116512,332480512.0,14155776.0,232493885.2576,246065981.2576,1.5294103551999998,0.27436106633184004,0.22145938313184002,0.27436106633184004,5.574443836539752,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar100,vgg16,l2,L2,42,16,16,10000,SNN,62.27,0.10632552892012562,332480512.0,28311552.0,475448292.4996,502592484.4996,1.5294103551999998,0.55813660244964,0.45233323604964004,0.55813660244964,2.740207949966866,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar100,vgg16,l2,L2,43,16,0,10000,ANN,61.73,0.2693408835431655,332480512.0,1769472.0,76091130.9048,77787642.9044,1.5294103551999998,0.07662158901432001,0.07000887861396002,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth
cifar100,vgg16,l2,L2,43,16,4,10000,SNN,61.2,0.1020194953314692,332480512.0,7077888.0,111391635.068,118177683.068,1.5294103551999998,0.13281075636120002,0.10635991476120002,0.13281075636120002,11.515711506382244,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth
cifar100,vgg16,l2,L2,43,16,8,10000,SNN,61.55,0.10209458815759892,332480512.0,14155776.0,226714797.7276,240286893.7276,1.5294103551999998,0.26915988755484,0.21625820435484003,0.26915988755484,5.682163003907445,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth
cifar100,vgg16,l2,L2,43,16,16,10000,SNN,61.74,0.10211535291054266,332480512.0,28311552.0,463905509.0812,491049701.0812,1.5294103551999998,0.5477480973730801,0.44194473097308007,0.5477480973730801,2.79217830702622,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed43_L16_trainT0.pth
cifar100,vgg16,l2,L2,44,16,0,10000,ANN,62.09,0.2711444490501349,332480512.0,1769472.0,77112771.687,78809283.6866,1.5294103551999998,0.07754106571830002,0.07092835531794,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar100,vgg16,l2,L2,44,16,4,10000,SNN,61.47,0.10351919964028777,332480512.0,7077888.0,112942565.0144,119728613.0144,1.5294103551999998,0.13420659331296,0.10775575171296001,0.13420659331296,11.395940523082396,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar100,vgg16,l2,L2,44,16,8,10000,SNN,61.89,0.10346306310420414,332480512.0,14155776.0,229381310.0664,242953406.0664,1.5294103551999998,0.27155974865976,0.21865806545976002,0.27155974865976,5.631947896358579,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar100,vgg16,l2,L2,44,16,16,10000,SNN,62.11,0.10348272474549657,332480512.0,28311552.0,469091243.9212,496235435.9212,1.5294103551999998,0.55241525872908,0.44661189232908,0.55241525872908,2.7685881789700266,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,40,16,0,10000,ANN,63.74,0.28267348948965826,332480512.0,1769472.0,76950374.9784,78646886.978,1.5294103551999998,0.07739490868056001,0.0707821982802,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,40,16,4,10000,SNN,63.04,0.10559317319581835,332480512.0,7077888.0,105265442.7632,112051490.7632,1.5294103551999998,0.12729718328688,0.10084634168688002,0.12729718328688,12.01448701149407,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,40,16,8,10000,SNN,63.53,0.10574306851393885,332480512.0,14155776.0,213682136.4904,227254232.4904,1.5294103551999998,0.25743049244136,0.20452880924136,0.25743049244136,5.941061374259631,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,40,16,16,10000,SNN,63.76,0.10577725390976281,332480512.0,28311552.0,437128332.5232,464272524.5232,1.5294103551999998,0.5236486384708801,0.41784527207088,0.5236486384708801,2.920680477019993,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,41,16,0,10000,ANN,64.01,0.2818008349960657,332480512.0,1769472.0,76944729.4356,78641241.4352,1.5294103551999998,0.07738982769204,0.07077711729168001,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,41,16,4,10000,SNN,63.39,0.10584129348864658,332480512.0,7077888.0,105602515.4896,112388563.4896,1.5294103551999998,0.12760054874064,0.10114970714064,0.12760054874064,11.985923025367773,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,41,16,8,10000,SNN,63.92,0.10593192612901867,332480512.0,14155776.0,214392399.7904,227964495.7904,1.5294103551999998,0.25806972941136,0.20516804621136003,0.25806972941136,5.926345405516887,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,41,16,16,10000,SNN,63.98,0.10595006645806401,332480512.0,28311552.0,438589622.1092,465733814.1092,1.5294103551999998,0.5249637990982801,0.41916043269828007,0.5249637990982801,2.913363469685029,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,42,16,0,10000,ANN,63.49,0.2823201702310027,332480512.0,1769472.0,76998315.2304,78694827.23,1.5294103551999998,0.07743805490736001,0.07082534450700001,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,42,16,4,10000,SNN,62.27,0.10461396299952226,332480512.0,7077888.0,105412476.1084,112198524.1084,1.5294103551999998,0.12742951329756003,0.10097867169756,0.12742951329756003,12.00201048895699,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,42,16,8,10000,SNN,63.25,0.10463973296460488,332480512.0,14155776.0,213409158.6996,226981254.6996,1.5294103551999998,0.25718481242964003,0.20428312922964,0.25718481242964003,5.946736670612741,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,42,16,16,10000,SNN,63.47,0.10462082332912967,332480512.0,28311552.0,436437291.0868,463581483.0868,1.5294103551999998,0.52302670117812,0.41722333477812,0.52302670117812,2.9241534930339044,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,43,16,0,10000,ANN,63.76,0.279997035535634,332480512.0,1769472.0,76727189.028,78423701.0276,1.5294103551999998,0.07719404132520001,0.07058133092484001,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,43,16,4,10000,SNN,62.07,0.1041085050514276,332480512.0,7077888.0,104729372.4844,111515420.4844,1.5294103551999998,0.12681472003596,0.10036387843596002,0.12681472003596,12.060195809810685,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,43,16,8,10000,SNN,63.3,0.10419565280392873,332480512.0,14155776.0,212266891.1644,225838987.1644,1.5294103551999998,0.25615677164796,0.20325508844796003,0.25615677164796,5.970602866989168,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,43,16,16,10000,SNN,63.75,0.10421582461569806,332480512.0,28311552.0,434097976.3308,461242168.3308,1.5294103551999998,0.52092131789772,0.41511795149772,0.52092131789772,2.935971907182134,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed43_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,44,16,0,10000,ANN,64.2,0.2813667146751349,332480512.0,1769472.0,76846470.9932,78542982.9928,1.5294103551999998,0.07730139509388002,0.07068868469352,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed44_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,44,16,4,10000,SNN,62.64,0.10423523186333745,332480512.0,7077888.0,104380913.9812,111166961.9812,1.5294103551999998,0.12650110738307999,0.10005026578308,0.12650110738307999,12.09009459947672,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed44_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,44,16,8,10000,SNN,63.85,0.10433804321289063,332480512.0,14155776.0,211640788.8988,225212884.8988,1.5294103551999998,0.25559327960892,0.20269159640892,0.25559327960892,5.983765917242156,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed44_L16_trainT0.pth
cifar100,vgg16,l2_wo,L2-wo,44,16,16,10000,SNN,64.17,0.10434357018779508,332480512.0,28311552.0,432769761.064,459913953.064,1.5294103551999998,0.5197259241576,0.41392255775760006,0.5197259241576,2.942724778793652,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed44_L16_trainT0.pth
cifar100,vgg16,l1,L1,40,16,0,10000,ANN,53.17,0.24007822897931655,332480512.0,1769472.0,60657567.1744,62354079.174,1.5294103551999998,0.06273138165696,0.0561186712566,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed40_L16_trainT0.pth
cifar100,vgg16,l1,L1,40,16,4,10000,SNN,52.75,0.08693242960319245,332480512.0,7077888.0,81865246.135,88651294.135,1.5294103551999998,0.10623700632150002,0.07978616472150002,0.10623700632150002,14.396210964111862,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed40_L16_trainT0.pth
cifar100,vgg16,l1,L1,40,16,8,10000,SNN,52.97,0.08709813653959644,332480512.0,14155776.0,166585666.6188,180157762.6188,1.5294103551999998,0.21504366955692003,0.16214198635692,0.21504366955692003,7.112091968813708,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed40_L16_trainT0.pth
cifar100,vgg16,l1,L1,40,16,16,10000,SNN,53.16,0.08718850286470042,332480512.0,28311552.0,341952363.3044,369096555.3044,1.5294103551999998,0.43799026617396003,0.3321868997739601,0.43799026617396003,3.491882065234189,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed40_L16_trainT0.pth
cifar100,vgg16,l1,L1,41,16,0,10000,ANN,52.58,0.23563554582115556,332480512.0,1769472.0,60094821.4364,61791333.436,1.5294103551999998,0.06222491049276001,0.055612200092400005,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed41_L16_trainT0.pth
cifar100,vgg16,l1,L1,41,16,4,10000,SNN,51.64,0.08310713101393885,332480512.0,7077888.0,79224753.1784,86010801.1784,1.5294103551999998,0.10386056266056,0.07740972106056,0.10386056266056,14.725612070853703,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed41_L16_trainT0.pth
cifar100,vgg16,l1,L1,41,16,8,10000,SNN,52.66,0.08308274044338748,332480512.0,14155776.0,160522692.4584,174094788.4584,1.5294103551999998,0.20958699281256005,0.15668530961256003,0.20958699281256005,7.297257977110237,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed41_L16_trainT0.pth
cifar100,vgg16,l1,L1,41,16,16,10000,SNN,52.57,0.08313685805505985,332480512.0,28311552.0,329465055.7828,356609247.7828,1.5294103551999998,0.4267516894045201,0.32094832300452003,0.4267516894045201,3.583841360614425,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed41_L16_trainT0.pth
cifar100,vgg16,l1,L1,42,16,0,10000,ANN,53.36,0.23435993213241907,332480512.0,1769472.0,58972231.4668,60668743.4664,1.5294103551999998,0.06121457952012,0.054601869119760005,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed42_L16_trainT0.pth
cifar100,vgg16,l1,L1,42,16,4,10000,SNN,52.82,0.08528359980960544,332480512.0,7077888.0,79820415.4544,86606463.4544,1.5294103551999998,0.10439665870896,0.07794581710896001,0.10439665870896,14.64999334378827,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed42_L16_trainT0.pth
cifar100,vgg16,l1,L1,42,16,8,10000,SNN,53.23,0.0854732099135145,332480512.0,14155776.0,162567389.844,176139485.844,1.5294103551999998,0.21142722045960002,0.15852553725960003,0.21142722045960002,7.233743847529996,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed42_L16_trainT0.pth
cifar100,vgg16,l1,L1,42,16,16,10000,SNN,53.34,0.08556743603164343,332480512.0,28311552.0,333654404.7708,360798596.7708,1.5294103551999998,0.43052210349372,0.32471873709372007,0.43052210349372,3.5524548978756654,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed42_L16_trainT0.pth
cifar100,vgg16,l1,L1,43,16,0,10000,ANN,52.4,0.23449195670807105,332480512.0,1769472.0,58863002.74,60559514.7396,1.5294103551999998,0.06111627366600001,0.05450356326564001,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed43_L16_trainT0.pth
cifar100,vgg16,l1,L1,43,16,4,10000,SNN,51.15,0.08398963315675584,332480512.0,7077888.0,79090676.4248,85876724.4248,1.5294103551999998,0.10373989358232,0.07728905198232,0.10373989358232,14.742740737307363,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed43_L16_trainT0.pth
cifar100,vgg16,l1,L1,43,16,8,10000,SNN,51.83,0.08396894439038613,332480512.0,14155776.0,160424854.634,173996950.634,1.5294103551999998,0.2094989387706,0.1565972555706,0.2094989387706,7.30032507169258,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed43_L16_trainT0.pth
cifar100,vgg16,l1,L1,43,16,16,10000,SNN,52.37,0.08408140021674067,332480512.0,28311552.0,329526604.2904,356670796.2904,1.5294103551999998,0.42680708306136,0.3210037166613601,0.42680708306136,3.58337622756866,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed43_L16_trainT0.pth
cifar100,vgg16,l1,L1,44,16,0,10000,ANN,54.24,0.23382680453293614,332480512.0,1769472.0,59342228.0826,61038740.0822,1.5294103551999998,0.06154757647434,0.05493486607398,1.5294103551999998,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_l1_rc1em05_seed44_L16_trainT0.pth
