L,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,59.980000,45.580000,33.970000,25.130000,19.550000,15.970000,14.320000,12.780000,12.000000,11.380000,11.130000,10.680000,10.520000,10.420000,10.340000,10.270000,10.270000
