method,epoch,lr,train_ce,train_objective,train_online_acc,val_ce,val_acc,n_lambda,lambda_mean,lambda_min,lambda_max,gamma_abs_mean,gamma_rms,gamma_abs_median
weights_only,1,0.01,0.8104867716979981,0.8966796269989014,70.386,0.5461418950080872,80.16,13,7.984711647033691,7.971019268035889,7.994760036468506,1.0114022493362427,1.011757731437683,1.0107512474060059
weights_only,2,0.009972609476841367,0.4801091911220551,0.5661052255821228,82.18,0.45075882987976074,82.96,13,7.969987869262695,7.938503265380859,7.988560199737549,1.0180209875106812,1.0185984373092651,1.0175474882125854
weights_only,3,0.009890738003669028,0.41581585304260255,0.5010414285469055,84.848,0.4867512758255005,82.26,13,7.955966472625732,7.90230131149292,7.982326984405518,1.0241448879241943,1.0249361991882324,1.0228296518325806
weights_only,4,0.009755282581475769,0.38108024046897887,0.46548178884506225,85.894,0.37949981174468994,86.17,13,7.943044662475586,7.8706374168396,7.976635932922363,1.029654622077942,1.0306438207626343,1.0290132761001587
weights_only,5,0.009567727288213004,0.3565883541202545,0.44011344956398013,86.936,0.3814490451812744,85.91,13,7.929910659790039,7.836695194244385,7.969301700592041,1.0353429317474365,1.0365235805511475,1.0330026149749756
weights_only,6,0.009330127018922194,0.3406563768863678,0.42330687520980836,87.486,0.3758350859642029,85.75,13,7.917895793914795,7.809665679931641,7.9635138511657715,1.0406062602996826,1.0419354438781738,1.0374854803085327
weights_only,7,0.009045084971874737,0.3265030712032318,0.4082928512001038,87.906,0.34291609172821047,87.28,13,7.905993938446045,7.781033992767334,7.957559108734131,1.0455838441848755,1.0470201969146729,1.038322925567627
weights_only,8,0.00871572412738697,0.3097078385925293,0.3906692745399475,88.778,0.3368388209342957,87.75,13,7.894983291625977,7.753927230834961,7.951144218444824,1.0503863096237183,1.0519306659698486,1.0440348386764526
weights_only,9,0.008345653031794291,0.3035475505065918,0.3837079222583771,88.872,0.3321553394317627,87.67,13,7.8842597007751465,7.729295253753662,7.945363998413086,1.0549803972244263,1.0566401481628418,1.0496124029159546
weights_only,10,0.007938926261462365,0.28912630376815796,0.36853173937797545,89.42,0.3260026873588562,88.31,13,7.874334335327148,7.705196857452393,7.940461158752441,1.0595074892044067,1.0613024234771729,1.0531562566757202
weights_only,11,0.007499999999999999,0.2858207867336273,0.36451030705451964,89.552,0.3260429177284241,88.09,13,7.864572525024414,7.6830830574035645,7.935242176055908,1.0639045238494873,1.065804123878479,1.057680368423462
